email_id,sender,subject,body,category
63,teamlead@project.com,Code Review,Please review the latest code.,work
64,newsletter@ai.com,AI Trends,Top AI trends this year.,promotion
65,brother@gmail.com,Game Night,Let’s play games tonight.,personal
66,alerts@uber.com,Ride Receipt,Your ride receipt is attached.,important
67,spam@workhome.com,Online Job,Easy online job opportunity.,spam
68,hr@startup.com,Interview Call,Interview scheduled tomorrow.,work
69,offers@food.com,Food Discount,Get 50% off on meals.,promotion
70,friend@hotmail.com,Lost Phone,Lost my phone, call me.,personal
71,bank@hdfc.com,Credit Card Bill,Your credit card bill is generated.,important
72,spam@forex.com,Forex Trading,Earn daily with forex trading.,spam
73,admin@university.edu,Fee Payment,Semester fee payment reminder.,work
74,newsletter@design.com,Design Weekly,New UI/UX trends.,promotion
75,aunt@gmail.com,Festival Wishes,Happy festival to you!,personal
76,alerts@ola.com,Ride Completed,Your ride is completed.,important
77,spam@prize.com,Prize Alert,Claim your surprise prize.,spam
78,manager@corp.com,Deadline Reminder,Deadline is tomorrow.,work
79,events@webinar.com,Webinar Registration,Join free webinar.,promotion
80,friend@gmail.com,Resume Help,Can you review my resume?,personal
81,security@twitter.com,Account Locked,Your account was locked temporarily.,important
82,spam@shoppingnow.com,Buy Now,Limited stock available.,spam
83,client@company.com,Invoice,Please find the invoice attached.,work
84,newsletter@marketing.com,Marketing Tips,Grow your business with tips.,promotion
85,friend@gmail.com,Internship Info,Any internship openings?,personal
86,alerts@phonepe.com,Payment Failed,Your payment failed.,important
87,spam@loanfast.com,Instant Cash,Get cash instantly.,spam
88,team@org.com,Weekly Summary,Weekly work summary.,work
89,offers@electronics.com,Gadget Sale,Discounts on electronics.,promotion
90,friend@gmail.com,Study Group,Let’s form a study group.,personal
91,bank@axis.com,Debit Alert,₹1500 debited from account.,important
92,spam@luxury.com,Cheap Luxury,Buy luxury items cheap.,spam
93,supervisor@company.com,Shift Update,Your shift timing updated.,work
94,newsletter@startup.com,Startup News,Latest startup news.,promotion
95,neighbor@gmail.com,House Help,Can you water plants?,personal
96,alerts@insurance.com,Policy Renewal,Your policy expires soon.,important
97,spam@travelwin.com,Free Trip,Win a free international trip.,spam
98,ceo@company.com,Company Vision,Message from CEO.,work
99,offers@books.com,Book Sale,Buy books at discount.,promotion
100,friend@gmail.com,Thank You,Thanks for your help!,personal
