-id,sender,subject,body,priority,triage_label,clean_text,triage
13,teamlead@company.com,Subscription Renewal,"Hello team, please find the attached weekly report and action items for the project.",medium,respond,hello team please find the attached weekly report and action items for the project,ignore
14,alerts@bank.com,Survey,Reminder: The client meeting is scheduled at 10:30 tomorrow. Prepare your slides.,low,respond,reminder the client meeting is scheduled at 10 30 tomorrow prepare your slides,ignore
15,security@bank.com,Security Alert,Please complete the mandatory training module before the deadline.,medium,notify_human,please complete the mandatory training module before the deadline,ignore
16,news@techblog.com,Payment Overdue,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,notify_human,hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
17,alerts@bank.com,Payment Overdue,Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,medium,notify_human,reminder the client meeting is scheduled at 10 00 tomorrow prepare your slides,ignore
18,support@cloud.com,Meeting Agenda,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",medium,ignore,hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
19,teamlead@company.com,Congratulations! You've Won,Please complete the mandatory training module before the deadline.,high,respond,please complete the mandatory training module before the deadline,ignore
20,hr@company.com,Welcome to Service,Please complete the mandatory training module before the deadline.,low,respond,please complete the mandatory training module before the deadline,ignore
21,support@cloud.com,Account Suspended,Notice: Your account will be locked unless verification is completed.,high,notify_human,notice your account will be locked unless verification is completed,ignore
22,hr@company.com,Weekly Newsletter,Please complete the mandatory training module before the deadline.,low,ignore,please complete the mandatory training module before the deadline,ignore
23,boss@company.com,Promotion: Big Sale,Your order #2545 has been shipped and is expected to deliver by 2025-12-27.,low,ignore,your order 2545 has been shipped and is expected to deliver by 2025 12 27,ignore
24,teamlead@company.com,Payment Overdue,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert multiple failed login attempts were recorded on your account,ignore
25,hr@company.com,Invoice Due,Your invoice of INR 9983.71 is due on 2025-12-29. Please pay to avoid late fees.,low,respond,your invoice of inr 9983 71 is due on 2025 12 29 please pay to avoid late fees,ignore
26,no-reply@service.com,Account Suspended,"Hello team, please find the attached weekly report and action items for the project.",medium,notify_human,hello team please find the attached weekly report and action items for the project,ignore
27,support@cloud.com,Password Reset Request,"Hello team, please find the attached weekly report and action items for the project.",low,notify_human,hello team please find the attached weekly report and action items for the project,ignore
28,sales@shop.com,Event Invitation,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,dear user we detected a login from a new device if this wasn t you reset your password immediately,respond_or_act
29,support@cloud.com,Action Required,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
30,boss@company.com,Action Required,Please complete the mandatory training module before the deadline.,low,respond,please complete the mandatory training module before the deadline,ignore
31,news@techblog.com,Weekly Newsletter,Notice: Your account will be locked unless verification is completed.,high,notify_human,notice your account will be locked unless verification is completed,ignore
32,boss@company.com,Account Suspended,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice your account will be locked unless verification is completed,ignore
33,orders@ecom.com,Congratulations! You've Won,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
34,alerts@bank.com,Password Reset Request,Your order #9808 has been shipped and is expected to deliver by 2025-12-30.,low,notify_human,your order 9808 has been shipped and is expected to deliver by 2025 12 30,ignore
35,orders@ecom.com,Meeting Agenda,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
36,support@cloud.com,Order Shipped,Notice: Your account will be locked unless verification is completed.,high,notify_human,notice your account will be locked unless verification is completed,ignore
37,alerts@bank.com,Meeting Agenda,Reminder: The client meeting is scheduled at 17:00 tomorrow. Prepare your slides.,low,respond,reminder the client meeting is scheduled at 17 00 tomorrow prepare your slides,ignore
38,sales@shop.com,Monthly Report,Your invoice of INR 34531.11 is due on 2026-01-08. Please pay to avoid late fees.,high,respond,your invoice of inr 34531 11 is due on 2026 01 08 please pay to avoid late fees,ignore
39,security@bank.com,Weekly Newsletter,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,security alert multiple failed login attempts were recorded on your account,ignore
40,orders@ecom.com,Project Update,Your order #2832 has been shipped and is expected to deliver by 2025-12-25.,low,respond,your order 2832 has been shipped and is expected to deliver by 2025 12 25,ignore
41,news@techblog.com,Survey,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,dear user we detected a login from a new device if this wasn t you reset your password immediately,respond_or_act
42,orders@ecom.com,Payment Overdue,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",medium,notify_human,dear user we detected a login from a new device if this wasn t you reset your password immediately,respond_or_act
43,teamlead@company.com,Subscription Renewal,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
44,hr@company.com,System Maintenance,Your invoice of INR 13706.88 is due on 2026-01-06. Please pay to avoid late fees.,medium,respond,your invoice of inr 13706 88 is due on 2026 01 06 please pay to avoid late fees,ignore
45,sales@shop.com,Congratulations! You've Won,Your order #1387 has been shipped and is expected to deliver by 2026-01-07.,medium,respond,your order 1387 has been shipped and is expected to deliver by 2026 01 07,ignore
46,teamlead@company.com,Monthly Report,Reminder: The client meeting is scheduled at 13:30 tomorrow. Prepare your slides.,low,respond,reminder the client meeting is scheduled at 13 30 tomorrow prepare your slides,ignore
47,support@cloud.com,Monthly Report,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,dear user we detected a login from a new device if this wasn t you reset your password immediately,respond_or_act
48,teamlead@company.com,Payment Overdue,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,notify_human,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
49,teamlead@company.com,Password Reset Request,Please complete the mandatory training module before the deadline.,low,notify_human,please complete the mandatory training module before the deadline,ignore
50,hr@company.com,Subscription Renewal,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
51,orders@ecom.com,Survey,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
52,security@bank.com,Order Shipped,Reminder: The client meeting is scheduled at 14:30 tomorrow. Prepare your slides.,low,respond,reminder the client meeting is scheduled at 14 30 tomorrow prepare your slides,ignore
53,sales@shop.com,Policy Update,Your order #5649 has been shipped and is expected to deliver by 2026-01-06.,low,respond,your order 5649 has been shipped and is expected to deliver by 2026 01 06,ignore
54,boss@company.com,Monthly Report,"Hello team, please find the attached weekly report and action items for the project.",medium,respond,hello team please find the attached weekly report and action items for the project,ignore
55,news@techblog.com,Password Reset Request,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",medium,notify_human,dear user we detected a login from a new device if this wasn t you reset your password immediately,respond_or_act
56,boss@company.com,Congratulations! You've Won,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,security alert multiple failed login attempts were recorded on your account,ignore
57,sales@shop.com,Project Update,Please complete the mandatory training module before the deadline.,low,respond,please complete the mandatory training module before the deadline,ignore
58,no-reply@service.com,Policy Update,Please complete the mandatory training module before the deadline.,low,respond,please complete the mandatory training module before the deadline,ignore
59,news@techblog.com,Action Required,Your order #4919 has been shipped and is expected to deliver by 2025-12-19.,low,respond,your order 4919 has been shipped and is expected to deliver by 2025 12 19,ignore
60,alerts@bank.com,Order Shipped,Your invoice of INR 13949.9 is due on 2025-12-22. Please pay to avoid late fees.,low,respond,your invoice of inr 13949 9 is due on 2025 12 22 please pay to avoid late fees,ignore
61,teamlead@company.com,Meeting Agenda,Your invoice of INR 3679.33 is due on 2025-12-25. Please pay to avoid late fees.,low,respond,your invoice of inr 3679 33 is due on 2025 12 25 please pay to avoid late fees,ignore
62,teamlead@company.com,Event Invitation,Notice: Your account will be locked unless verification is completed.,high,notify_human,notice your account will be locked unless verification is completed,ignore
63,orders@ecom.com,Event Invitation,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert multiple failed login attempts were recorded on your account,ignore
64,teamlead@company.com,Action Required,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",high,notify_human,dear user we detected a login from a new device if this wasn t you reset your password immediately,respond_or_act
65,boss@company.com,Survey,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,dear user we detected a login from a new device if this wasn t you reset your password immediately,respond_or_act
66,no-reply@service.com,Project Update,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,dear user we detected a login from a new device if this wasn t you reset your password immediately,respond_or_act
67,teamlead@company.com,Security Alert,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert multiple failed login attempts were recorded on your account,ignore
68,hr@company.com,Account Suspended,"Hello team, please find the attached weekly report and action items for the project.",low,notify_human,hello team please find the attached weekly report and action items for the project,ignore
69,security@bank.com,Subscription Renewal,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",medium,ignore,hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
70,hr@company.com,Project Update,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice your account will be locked unless verification is completed,ignore
71,security@bank.com,Order Shipped,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice your account will be locked unless verification is completed,ignore
72,sales@shop.com,Invoice Due,Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,low,respond,reminder the client meeting is scheduled at 10 00 tomorrow prepare your slides,ignore
73,hr@company.com,Weekly Newsletter,Please complete the mandatory training module before the deadline.,low,ignore,please complete the mandatory training module before the deadline,ignore
74,hr@company.com,Welcome to Service,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",medium,ignore,hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
75,no-reply@service.com,System Maintenance,Notice: Your account will be locked unless verification is completed.,medium,notify_human,notice your account will be locked unless verification is completed,ignore
76,sales@shop.com,Welcome to Service,Notice: Your account will be locked unless verification is completed.,medium,notify_human,notice your account will be locked unless verification is completed,ignore
77,news@techblog.com,Action Required,Your invoice of INR 18063.84 is due on 2025-12-20. Please pay to avoid late fees.,low,respond,your invoice of inr 18063 84 is due on 2025 12 20 please pay to avoid late fees,ignore
78,support@cloud.com,Congratulations! You've Won,"Hello team, please find the attached weekly report and action items for the project.",medium,respond,hello team please find the attached weekly report and action items for the project,ignore
79,no-reply@service.com,Welcome to Service,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",medium,notify_human,dear user we detected a login from a new device if this wasn t you reset your password immediately,respond_or_act
80,hr@company.com,Action Required,Please complete the mandatory training module before the deadline.,medium,respond,please complete the mandatory training module before the deadline,ignore
81,orders@ecom.com,Order Shipped,Reminder: The client meeting is scheduled at 12:30 tomorrow. Prepare your slides.,medium,respond,reminder the client meeting is scheduled at 12 30 tomorrow prepare your slides,ignore
82,news@techblog.com,Congratulations! You've Won,Your invoice of INR 37060.93 is due on 2025-12-20. Please pay to avoid late fees.,medium,respond,your invoice of inr 37060 93 is due on 2025 12 20 please pay to avoid late fees,ignore
83,orders@ecom.com,Account Suspended,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,notify_human,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
84,security@bank.com,Survey,Reminder: The client meeting is scheduled at 16:00 tomorrow. Prepare your slides.,low,respond,reminder the client meeting is scheduled at 16 00 tomorrow prepare your slides,ignore
85,no-reply@service.com,Action Required,Your order #2869 has been shipped and is expected to deliver by 2025-12-13.,medium,respond,your order 2869 has been shipped and is expected to deliver by 2025 12 13,ignore
86,teamlead@company.com,Action Required,"Hello team, please find the attached weekly report and action items for the project.",medium,respond,hello team please find the attached weekly report and action items for the project,ignore
87,orders@ecom.com,Weekly Newsletter,Your invoice of INR 6363.35 is due on 2026-01-05. Please pay to avoid late fees.,low,ignore,your invoice of inr 6363 35 is due on 2026 01 05 please pay to avoid late fees,ignore
88,no-reply@service.com,Order Shipped,Notice: Your account will be locked unless verification is completed.,medium,notify_human,notice your account will be locked unless verification is completed,ignore
89,orders@ecom.com,Weekly Newsletter,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
90,boss@company.com,Action Required,Reminder: The client meeting is scheduled at 13:30 tomorrow. Prepare your slides.,medium,respond,reminder the client meeting is scheduled at 13 30 tomorrow prepare your slides,ignore
91,orders@ecom.com,Promotion: Big Sale,Your invoice of INR 21544.38 is due on 2025-12-29. Please pay to avoid late fees.,medium,ignore,your invoice of inr 21544 38 is due on 2025 12 29 please pay to avoid late fees,ignore
92,alerts@bank.com,Unusual Login Attempt,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,notify_human,hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
93,orders@ecom.com,Event Invitation,Reminder: The client meeting is scheduled at 16:00 tomorrow. Prepare your slides.,medium,respond,reminder the client meeting is scheduled at 16 00 tomorrow prepare your slides,ignore
94,hr@company.com,Subscription Renewal,Reminder: The client meeting is scheduled at 9:30 tomorrow. Prepare your slides.,medium,respond,reminder the client meeting is scheduled at 9 30 tomorrow prepare your slides,ignore
95,news@techblog.com,Action Required,Please complete the mandatory training module before the deadline.,medium,respond,please complete the mandatory training module before the deadline,ignore
96,no-reply@service.com,Weekly Newsletter,Your order #3634 has been shipped and is expected to deliver by 2025-12-22.,low,ignore,your order 3634 has been shipped and is expected to deliver by 2025 12 22,ignore
97,no-reply@service.com,Order Shipped,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert multiple failed login attempts were recorded on your account,ignore
98,hr@company.com,Invoice Due,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert multiple failed login attempts were recorded on your account,ignore
99,support@cloud.com,Payment Overdue,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice your account will be locked unless verification is completed,ignore
100,news@techblog.com,Order Shipped,Your order #4920 has been shipped and is expected to deliver by 2025-12-27.,medium,respond,your order 4920 has been shipped and is expected to deliver by 2025 12 27,ignore
101,orders@ecom.com,Survey,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",high,notify_human,dear user we detected a login from a new device if this wasn t you reset your password immediately,respond_or_act
102,news@techblog.com,Action Required,Reminder: The client meeting is scheduled at 15:30 tomorrow. Prepare your slides.,low,respond,reminder the client meeting is scheduled at 15 30 tomorrow prepare your slides,ignore
103,support@cloud.com,Meeting Agenda,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert multiple failed login attempts were recorded on your account,ignore
104,teamlead@company.com,Monthly Report,Please complete the mandatory training module before the deadline.,medium,respond,please complete the mandatory training module before the deadline,ignore
105,no-reply@service.com,Survey,Your order #8460 has been shipped and is expected to deliver by 2025-12-29.,high,respond,your order 8460 has been shipped and is expected to deliver by 2025 12 29,ignore
106,sales@shop.com,Account Suspended,Notice: Your account will be locked unless verification is completed.,medium,notify_human,notice your account will be locked unless verification is completed,ignore
107,teamlead@company.com,Event Invitation,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",medium,ignore,hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
108,no-reply@service.com,Invoice Due,Please complete the mandatory training module before the deadline.,low,respond,please complete the mandatory training module before the deadline,ignore
109,orders@ecom.com,Monthly Report,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice your account will be locked unless verification is completed,ignore
110,hr@company.com,Action Required,Please complete the mandatory training module before the deadline.,medium,respond,please complete the mandatory training module before the deadline,ignore
111,teamlead@company.com,Invoice Due,"Hello team, please find the attached weekly report and action items for the project.",low,respond,hello team please find the attached weekly report and action items for the project,ignore
112,security@bank.com,Order Shipped,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
113,alerts@bank.com,Subscription Renewal,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert multiple failed login attempts were recorded on your account,ignore
114,orders@ecom.com,Welcome to Service,Reminder: The client meeting is scheduled at 16:30 tomorrow. Prepare your slides.,low,respond,reminder the client meeting is scheduled at 16 30 tomorrow prepare your slides,ignore
115,no-reply@service.com,Payment Overdue,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice your account will be locked unless verification is completed,ignore
116,teamlead@company.com,Action Required,"Hello team, please find the attached weekly report and action items for the project.",low,respond,hello team please find the attached weekly report and action items for the project,ignore
117,teamlead@company.com,Security Alert,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",medium,notify_human,dear user we detected a login from a new device if this wasn t you reset your password immediately,respond_or_act
118,sales@shop.com,Subscription Renewal,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,high,ignore,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
119,security@bank.com,Order Shipped,Your order #5835 has been shipped and is expected to deliver by 2025-12-23.,low,respond,your order 5835 has been shipped and is expected to deliver by 2025 12 23,ignore
120,teamlead@company.com,Project Update,Your invoice of INR 7041.91 is due on 2025-12-29. Please pay to avoid late fees.,low,respond,your invoice of inr 7041 91 is due on 2025 12 29 please pay to avoid late fees,ignore
121,no-reply@service.com,Order Shipped,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
122,teamlead@company.com,Survey,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
123,hr@company.com,Security Alert,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice your account will be locked unless verification is completed,ignore
124,boss@company.com,Survey,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
125,alerts@bank.com,Meeting Agenda,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,dear user we detected a login from a new device if this wasn t you reset your password immediately,respond_or_act
126,support@cloud.com,Meeting Agenda,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,security alert multiple failed login attempts were recorded on your account,ignore
127,alerts@bank.com,Action Required,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice your account will be locked unless verification is completed,ignore
128,sales@shop.com,Payment Overdue,"Hello team, please find the attached weekly report and action items for the project.",low,notify_human,hello team please find the attached weekly report and action items for the project,ignore
129,sales@shop.com,Invoice Due,Your order #6464 has been shipped and is expected to deliver by 2025-12-18.,low,respond,your order 6464 has been shipped and is expected to deliver by 2025 12 18,ignore
130,news@techblog.com,Promotion: Big Sale,Your invoice of INR 3896.2 is due on 2026-01-05. Please pay to avoid late fees.,medium,ignore,your invoice of inr 3896 2 is due on 2026 01 05 please pay to avoid late fees,ignore
131,sales@shop.com,Monthly Report,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",high,ignore,hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
132,support@cloud.com,Security Alert,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,notify_human,hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
133,sales@shop.com,Promotion: Big Sale,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
134,alerts@bank.com,Action Required,Your order #9254 has been shipped and is expected to deliver by 2025-12-28.,low,respond,your order 9254 has been shipped and is expected to deliver by 2025 12 28,ignore
135,boss@company.com,Unusual Login Attempt,Please complete the mandatory training module before the deadline.,medium,notify_human,please complete the mandatory training module before the deadline,ignore
136,teamlead@company.com,Invoice Due,Your order #6277 has been shipped and is expected to deliver by 2025-12-26.,medium,respond,your order 6277 has been shipped and is expected to deliver by 2025 12 26,ignore
137,alerts@bank.com,Meeting Agenda,Reminder: The client meeting is scheduled at 17:30 tomorrow. Prepare your slides.,high,respond,reminder the client meeting is scheduled at 17 30 tomorrow prepare your slides,ignore
138,support@cloud.com,Order Shipped,Your order #4522 has been shipped and is expected to deliver by 2025-12-25.,low,respond,your order 4522 has been shipped and is expected to deliver by 2025 12 25,ignore
139,sales@shop.com,System Maintenance,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
140,orders@ecom.com,Payment Overdue,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,notify_human,hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
141,alerts@bank.com,Payment Overdue,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,notify_human,hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
142,teamlead@company.com,Unusual Login Attempt,Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,medium,notify_human,reminder the client meeting is scheduled at 10 00 tomorrow prepare your slides,ignore
143,sales@shop.com,Invoice Due,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
144,support@cloud.com,Subscription Renewal,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice your account will be locked unless verification is completed,ignore
145,orders@ecom.com,Monthly Report,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
146,security@bank.com,Weekly Newsletter,Please complete the mandatory training module before the deadline.,low,ignore,please complete the mandatory training module before the deadline,ignore
147,hr@company.com,Promotion: Big Sale,Notice: Your account will be locked unless verification is completed.,medium,notify_human,notice your account will be locked unless verification is completed,ignore
148,orders@ecom.com,Welcome to Service,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,security alert multiple failed login attempts were recorded on your account,ignore
149,alerts@bank.com,Payment Overdue,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert multiple failed login attempts were recorded on your account,ignore
150,boss@company.com,Unusual Login Attempt,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,dear user we detected a login from a new device if this wasn t you reset your password immediately,respond_or_act
151,security@bank.com,Action Required,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert multiple failed login attempts were recorded on your account,ignore
152,hr@company.com,Weekly Newsletter,Security alert: multiple failed login attempts were recorded on your account.,high,notify_human,security alert multiple failed login attempts were recorded on your account,ignore
153,hr@company.com,Promotion: Big Sale,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert multiple failed login attempts were recorded on your account,ignore
154,hr@company.com,Project Update,Notice: Your account will be locked unless verification is completed.,medium,notify_human,notice your account will be locked unless verification is completed,ignore
155,sales@shop.com,System Maintenance,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice your account will be locked unless verification is completed,ignore
156,news@techblog.com,Weekly Newsletter,Please complete the mandatory training module before the deadline.,low,ignore,please complete the mandatory training module before the deadline,ignore
157,news@techblog.com,Account Suspended,"Hello team, please find the attached weekly report and action items for the project.",low,notify_human,hello team please find the attached weekly report and action items for the project,ignore
158,no-reply@service.com,Welcome to Service,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice your account will be locked unless verification is completed,ignore
159,no-reply@service.com,Welcome to Service,Reminder: The client meeting is scheduled at 9:30 tomorrow. Prepare your slides.,low,respond,reminder the client meeting is scheduled at 9 30 tomorrow prepare your slides,ignore
160,no-reply@service.com,Welcome to Service,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",medium,notify_human,dear user we detected a login from a new device if this wasn t you reset your password immediately,respond_or_act
161,support@cloud.com,Event Invitation,Your order #4084 has been shipped and is expected to deliver by 2026-01-06.,low,respond,your order 4084 has been shipped and is expected to deliver by 2026 01 06,ignore
162,no-reply@service.com,Policy Update,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
163,news@techblog.com,Unusual Login Attempt,Your invoice of INR 35527.27 is due on 2025-12-26. Please pay to avoid late fees.,low,notify_human,your invoice of inr 35527 27 is due on 2025 12 26 please pay to avoid late fees,ignore
164,orders@ecom.com,Event Invitation,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert multiple failed login attempts were recorded on your account,ignore
165,support@cloud.com,Event Invitation,Reminder: The client meeting is scheduled at 11:30 tomorrow. Prepare your slides.,low,respond,reminder the client meeting is scheduled at 11 30 tomorrow prepare your slides,ignore
166,news@techblog.com,Payment Overdue,Reminder: The client meeting is scheduled at 15:00 tomorrow. Prepare your slides.,low,notify_human,reminder the client meeting is scheduled at 15 00 tomorrow prepare your slides,ignore
167,teamlead@company.com,Monthly Report,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
168,security@bank.com,Payment Overdue,Reminder: The client meeting is scheduled at 14:30 tomorrow. Prepare your slides.,low,notify_human,reminder the client meeting is scheduled at 14 30 tomorrow prepare your slides,ignore
169,news@techblog.com,Meeting Agenda,"Hello team, please find the attached weekly report and action items for the project.",medium,respond,hello team please find the attached weekly report and action items for the project,ignore
170,boss@company.com,Meeting Agenda,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice your account will be locked unless verification is completed,ignore
