id,sender,subject,body,priority,triage_label,clean_text,triage,triage_match
11,support@cloud.com,Survey,Reminder: The client meeting is scheduled at 15:30 tomorrow. Prepare your slides.,high,respond,reminder: the client meeting is scheduled at 15:30 tomorrow. prepare your slides.,respond_or_act,\bmeeting\b
12,news@techblog.com,Policy Update,Your order #3621 has been shipped and is expected to deliver by 2025-12-13.,medium,respond,your order #3621 has been shipped and is expected to deliver by 2025-12-13.,respond_or_act,default_fallback
13,teamlead@company.com,Subscription Renewal,"Hello team, please find the attached weekly report and action items for the project.",medium,respond,"hello team, please find the attached weekly report and action items for the project.",respond_or_act,\battached\b
14,alerts@bank.com,Survey,Reminder: The client meeting is scheduled at 10:30 tomorrow. Prepare your slides.,low,respond,reminder: the client meeting is scheduled at 10:30 tomorrow. prepare your slides.,respond_or_act,\bmeeting\b
15,security@bank.com,Security Alert,Please complete the mandatory training module before the deadline.,medium,notify_human,please complete the mandatory training module before the deadline.,respond_or_act,default_fallback
16,news@techblog.com,Payment Overdue,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,notify_human,"hi, don't miss our sale with discounts up to 70% on selected items. click to know more.",ignore,\bsale\b
17,alerts@bank.com,Payment Overdue,Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,medium,notify_human,reminder: the client meeting is scheduled at 10:00 tomorrow. prepare your slides.,respond_or_act,\bmeeting\b
18,support@cloud.com,Meeting Agenda,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",medium,ignore,"hi, don't miss our sale with discounts up to 70% on selected items. click to know more.",ignore,\bsale\b
19,teamlead@company.com,Congratulations! You've Won,Please complete the mandatory training module before the deadline.,high,respond,please complete the mandatory training module before the deadline.,respond_or_act,default_fallback
20,hr@company.com,Welcome to Service,Please complete the mandatory training module before the deadline.,low,respond,please complete the mandatory training module before the deadline.,respond_or_act,default_fallback
21,support@cloud.com,Account Suspended,Notice: Your account will be locked unless verification is completed.,high,notify_human,notice: your account will be locked unless verification is completed.,respond_or_act,default_fallback
22,hr@company.com,Weekly Newsletter,Please complete the mandatory training module before the deadline.,low,ignore,please complete the mandatory training module before the deadline.,respond_or_act,default_fallback
23,boss@company.com,Promotion: Big Sale,Your order #2545 has been shipped and is expected to deliver by 2025-12-27.,low,ignore,your order #2545 has been shipped and is expected to deliver by 2025-12-27.,respond_or_act,default_fallback
24,teamlead@company.com,Payment Overdue,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert: multiple failed login attempts were recorded on your account.,respond_or_act,default_fallback
25,hr@company.com,Invoice Due,Your invoice of INR 9983.71 is due on 2025-12-29. Please pay to avoid late fees.,low,respond,your invoice of inr 9983.71 is due on 2025-12-29. please pay to avoid late fees.,notify_human,\binvoice\b
26,no-reply@service.com,Account Suspended,"Hello team, please find the attached weekly report and action items for the project.",medium,notify_human,"hello team, please find the attached weekly report and action items for the project.",respond_or_act,\battached\b
27,support@cloud.com,Password Reset Request,"Hello team, please find the attached weekly report and action items for the project.",low,notify_human,"hello team, please find the attached weekly report and action items for the project.",respond_or_act,\battached\b
28,sales@shop.com,Event Invitation,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,"dear user, we detected a login from a new device. if this wasn't you, reset your password immediately.",notify_human,\bpassword\b
29,support@cloud.com,Action Required,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,"hi, don't miss our sale with discounts up to 70% on selected items. click to know more.",ignore,\bsale\b
30,boss@company.com,Action Required,Please complete the mandatory training module before the deadline.,low,respond,please complete the mandatory training module before the deadline.,respond_or_act,default_fallback
31,news@techblog.com,Weekly Newsletter,Notice: Your account will be locked unless verification is completed.,high,notify_human,notice: your account will be locked unless verification is completed.,respond_or_act,default_fallback
32,boss@company.com,Account Suspended,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice: your account will be locked unless verification is completed.,respond_or_act,default_fallback
33,orders@ecom.com,Congratulations! You've Won,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,congratulations! you have been selected as a lucky winner. claim your prize now by clicking the link.,ignore,\bcongratulations\b
34,alerts@bank.com,Password Reset Request,Your order #9808 has been shipped and is expected to deliver by 2025-12-30.,low,notify_human,your order #9808 has been shipped and is expected to deliver by 2025-12-30.,respond_or_act,default_fallback
35,orders@ecom.com,Meeting Agenda,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,congratulations! you have been selected as a lucky winner. claim your prize now by clicking the link.,ignore,\bcongratulations\b
36,support@cloud.com,Order Shipped,Notice: Your account will be locked unless verification is completed.,high,notify_human,notice: your account will be locked unless verification is completed.,respond_or_act,default_fallback
37,alerts@bank.com,Meeting Agenda,Reminder: The client meeting is scheduled at 17:00 tomorrow. Prepare your slides.,low,respond,reminder: the client meeting is scheduled at 17:00 tomorrow. prepare your slides.,respond_or_act,\bmeeting\b
38,sales@shop.com,Monthly Report,Your invoice of INR 34531.11 is due on 2026-01-08. Please pay to avoid late fees.,high,respond,your invoice of inr 34531.11 is due on 2026-01-08. please pay to avoid late fees.,notify_human,\binvoice\b
39,security@bank.com,Weekly Newsletter,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,security alert: multiple failed login attempts were recorded on your account.,respond_or_act,default_fallback
40,orders@ecom.com,Project Update,Your order #2832 has been shipped and is expected to deliver by 2025-12-25.,low,respond,your order #2832 has been shipped and is expected to deliver by 2025-12-25.,respond_or_act,default_fallback
41,news@techblog.com,Survey,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,"dear user, we detected a login from a new device. if this wasn't you, reset your password immediately.",notify_human,\bpassword\b
42,orders@ecom.com,Payment Overdue,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",medium,notify_human,"dear user, we detected a login from a new device. if this wasn't you, reset your password immediately.",notify_human,\bpassword\b
43,teamlead@company.com,Subscription Renewal,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,"hi, don't miss our sale with discounts up to 70% on selected items. click to know more.",ignore,\bsale\b
44,hr@company.com,System Maintenance,Your invoice of INR 13706.88 is due on 2026-01-06. Please pay to avoid late fees.,medium,respond,your invoice of inr 13706.88 is due on 2026-01-06. please pay to avoid late fees.,notify_human,\binvoice\b
45,sales@shop.com,Congratulations! You've Won,Your order #1387 has been shipped and is expected to deliver by 2026-01-07.,medium,respond,your order #1387 has been shipped and is expected to deliver by 2026-01-07.,respond_or_act,default_fallback
46,teamlead@company.com,Monthly Report,Reminder: The client meeting is scheduled at 13:30 tomorrow. Prepare your slides.,low,respond,reminder: the client meeting is scheduled at 13:30 tomorrow. prepare your slides.,respond_or_act,\bmeeting\b
47,support@cloud.com,Monthly Report,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,"dear user, we detected a login from a new device. if this wasn't you, reset your password immediately.",notify_human,\bpassword\b
48,teamlead@company.com,Payment Overdue,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,notify_human,congratulations! you have been selected as a lucky winner. claim your prize now by clicking the link.,ignore,\bcongratulations\b
49,teamlead@company.com,Password Reset Request,Please complete the mandatory training module before the deadline.,low,notify_human,please complete the mandatory training module before the deadline.,respond_or_act,default_fallback
50,hr@company.com,Subscription Renewal,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,congratulations! you have been selected as a lucky winner. claim your prize now by clicking the link.,ignore,\bcongratulations\b
51,orders@ecom.com,Survey,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,"hi, don't miss our sale with discounts up to 70% on selected items. click to know more.",ignore,\bsale\b
52,security@bank.com,Order Shipped,Reminder: The client meeting is scheduled at 14:30 tomorrow. Prepare your slides.,low,respond,reminder: the client meeting is scheduled at 14:30 tomorrow. prepare your slides.,respond_or_act,\bmeeting\b
53,sales@shop.com,Policy Update,Your order #5649 has been shipped and is expected to deliver by 2026-01-06.,low,respond,your order #5649 has been shipped and is expected to deliver by 2026-01-06.,respond_or_act,default_fallback
54,boss@company.com,Monthly Report,"Hello team, please find the attached weekly report and action items for the project.",medium,respond,"hello team, please find the attached weekly report and action items for the project.",respond_or_act,\battached\b
55,news@techblog.com,Password Reset Request,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",medium,notify_human,"dear user, we detected a login from a new device. if this wasn't you, reset your password immediately.",notify_human,\bpassword\b
56,boss@company.com,Congratulations! You've Won,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,security alert: multiple failed login attempts were recorded on your account.,respond_or_act,default_fallback
57,sales@shop.com,Project Update,Please complete the mandatory training module before the deadline.,low,respond,please complete the mandatory training module before the deadline.,respond_or_act,default_fallback
58,no-reply@service.com,Policy Update,Please complete the mandatory training module before the deadline.,low,respond,please complete the mandatory training module before the deadline.,respond_or_act,default_fallback
59,news@techblog.com,Action Required,Your order #4919 has been shipped and is expected to deliver by 2025-12-19.,low,respond,your order #4919 has been shipped and is expected to deliver by 2025-12-19.,respond_or_act,default_fallback
60,alerts@bank.com,Order Shipped,Your invoice of INR 13949.9 is due on 2025-12-22. Please pay to avoid late fees.,low,respond,your invoice of inr 13949.9 is due on 2025-12-22. please pay to avoid late fees.,notify_human,\binvoice\b
61,teamlead@company.com,Meeting Agenda,Your invoice of INR 3679.33 is due on 2025-12-25. Please pay to avoid late fees.,low,respond,your invoice of inr 3679.33 is due on 2025-12-25. please pay to avoid late fees.,notify_human,\binvoice\b
62,teamlead@company.com,Event Invitation,Notice: Your account will be locked unless verification is completed.,high,notify_human,notice: your account will be locked unless verification is completed.,respond_or_act,default_fallback
63,orders@ecom.com,Event Invitation,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert: multiple failed login attempts were recorded on your account.,respond_or_act,default_fallback
64,teamlead@company.com,Action Required,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",high,notify_human,"dear user, we detected a login from a new device. if this wasn't you, reset your password immediately.",notify_human,\bpassword\b
65,boss@company.com,Survey,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,"dear user, we detected a login from a new device. if this wasn't you, reset your password immediately.",notify_human,\bpassword\b
66,no-reply@service.com,Project Update,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,"dear user, we detected a login from a new device. if this wasn't you, reset your password immediately.",notify_human,\bpassword\b
67,teamlead@company.com,Security Alert,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert: multiple failed login attempts were recorded on your account.,respond_or_act,default_fallback
68,hr@company.com,Account Suspended,"Hello team, please find the attached weekly report and action items for the project.",low,notify_human,"hello team, please find the attached weekly report and action items for the project.",respond_or_act,\battached\b
69,security@bank.com,Subscription Renewal,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",medium,ignore,"hi, don't miss our sale with discounts up to 70% on selected items. click to know more.",ignore,\bsale\b
70,hr@company.com,Project Update,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice: your account will be locked unless verification is completed.,respond_or_act,default_fallback
71,security@bank.com,Order Shipped,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice: your account will be locked unless verification is completed.,respond_or_act,default_fallback
72,sales@shop.com,Invoice Due,Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,low,respond,reminder: the client meeting is scheduled at 10:00 tomorrow. prepare your slides.,respond_or_act,\bmeeting\b
73,hr@company.com,Weekly Newsletter,Please complete the mandatory training module before the deadline.,low,ignore,please complete the mandatory training module before the deadline.,respond_or_act,default_fallback
74,hr@company.com,Welcome to Service,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",medium,ignore,"hi, don't miss our sale with discounts up to 70% on selected items. click to know more.",ignore,\bsale\b
75,no-reply@service.com,System Maintenance,Notice: Your account will be locked unless verification is completed.,medium,notify_human,notice: your account will be locked unless verification is completed.,respond_or_act,default_fallback
76,sales@shop.com,Welcome to Service,Notice: Your account will be locked unless verification is completed.,medium,notify_human,notice: your account will be locked unless verification is completed.,respond_or_act,default_fallback
77,news@techblog.com,Action Required,Your invoice of INR 18063.84 is due on 2025-12-20. Please pay to avoid late fees.,low,respond,your invoice of inr 18063.84 is due on 2025-12-20. please pay to avoid late fees.,notify_human,\binvoice\b
78,support@cloud.com,Congratulations! You've Won,"Hello team, please find the attached weekly report and action items for the project.",medium,respond,"hello team, please find the attached weekly report and action items for the project.",respond_or_act,\battached\b
79,no-reply@service.com,Welcome to Service,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",medium,notify_human,"dear user, we detected a login from a new device. if this wasn't you, reset your password immediately.",notify_human,\bpassword\b
80,hr@company.com,Action Required,Please complete the mandatory training module before the deadline.,medium,respond,please complete the mandatory training module before the deadline.,respond_or_act,default_fallback
81,orders@ecom.com,Order Shipped,Reminder: The client meeting is scheduled at 12:30 tomorrow. Prepare your slides.,medium,respond,reminder: the client meeting is scheduled at 12:30 tomorrow. prepare your slides.,respond_or_act,\bmeeting\b
82,news@techblog.com,Congratulations! You've Won,Your invoice of INR 37060.93 is due on 2025-12-20. Please pay to avoid late fees.,medium,respond,your invoice of inr 37060.93 is due on 2025-12-20. please pay to avoid late fees.,notify_human,\binvoice\b
83,orders@ecom.com,Account Suspended,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,notify_human,congratulations! you have been selected as a lucky winner. claim your prize now by clicking the link.,ignore,\bcongratulations\b
84,security@bank.com,Survey,Reminder: The client meeting is scheduled at 16:00 tomorrow. Prepare your slides.,low,respond,reminder: the client meeting is scheduled at 16:00 tomorrow. prepare your slides.,respond_or_act,\bmeeting\b
85,no-reply@service.com,Action Required,Your order #2869 has been shipped and is expected to deliver by 2025-12-13.,medium,respond,your order #2869 has been shipped and is expected to deliver by 2025-12-13.,respond_or_act,default_fallback
86,teamlead@company.com,Action Required,"Hello team, please find the attached weekly report and action items for the project.",medium,respond,"hello team, please find the attached weekly report and action items for the project.",respond_or_act,\battached\b
87,orders@ecom.com,Weekly Newsletter,Your invoice of INR 6363.35 is due on 2026-01-05. Please pay to avoid late fees.,low,ignore,your invoice of inr 6363.35 is due on 2026-01-05. please pay to avoid late fees.,notify_human,\binvoice\b
88,no-reply@service.com,Order Shipped,Notice: Your account will be locked unless verification is completed.,medium,notify_human,notice: your account will be locked unless verification is completed.,respond_or_act,default_fallback
89,orders@ecom.com,Weekly Newsletter,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,"hi, don't miss our sale with discounts up to 70% on selected items. click to know more.",ignore,\bsale\b
90,boss@company.com,Action Required,Reminder: The client meeting is scheduled at 13:30 tomorrow. Prepare your slides.,medium,respond,reminder: the client meeting is scheduled at 13:30 tomorrow. prepare your slides.,respond_or_act,\bmeeting\b
91,orders@ecom.com,Promotion: Big Sale,Your invoice of INR 21544.38 is due on 2025-12-29. Please pay to avoid late fees.,medium,ignore,your invoice of inr 21544.38 is due on 2025-12-29. please pay to avoid late fees.,notify_human,\binvoice\b
92,alerts@bank.com,Unusual Login Attempt,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,notify_human,"hi, don't miss our sale with discounts up to 70% on selected items. click to know more.",ignore,\bsale\b
93,orders@ecom.com,Event Invitation,Reminder: The client meeting is scheduled at 16:00 tomorrow. Prepare your slides.,medium,respond,reminder: the client meeting is scheduled at 16:00 tomorrow. prepare your slides.,respond_or_act,\bmeeting\b
94,hr@company.com,Subscription Renewal,Reminder: The client meeting is scheduled at 9:30 tomorrow. Prepare your slides.,medium,respond,reminder: the client meeting is scheduled at 9:30 tomorrow. prepare your slides.,respond_or_act,\bmeeting\b
95,news@techblog.com,Action Required,Please complete the mandatory training module before the deadline.,medium,respond,please complete the mandatory training module before the deadline.,respond_or_act,default_fallback
96,no-reply@service.com,Weekly Newsletter,Your order #3634 has been shipped and is expected to deliver by 2025-12-22.,low,ignore,your order #3634 has been shipped and is expected to deliver by 2025-12-22.,respond_or_act,default_fallback
97,no-reply@service.com,Order Shipped,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert: multiple failed login attempts were recorded on your account.,respond_or_act,default_fallback
98,hr@company.com,Invoice Due,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert: multiple failed login attempts were recorded on your account.,respond_or_act,default_fallback
99,support@cloud.com,Payment Overdue,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice: your account will be locked unless verification is completed.,respond_or_act,default_fallback
100,news@techblog.com,Order Shipped,Your order #4920 has been shipped and is expected to deliver by 2025-12-27.,medium,respond,your order #4920 has been shipped and is expected to deliver by 2025-12-27.,respond_or_act,default_fallback
101,orders@ecom.com,Survey,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",high,notify_human,"dear user, we detected a login from a new device. if this wasn't you, reset your password immediately.",notify_human,\bpassword\b
102,news@techblog.com,Action Required,Reminder: The client meeting is scheduled at 15:30 tomorrow. Prepare your slides.,low,respond,reminder: the client meeting is scheduled at 15:30 tomorrow. prepare your slides.,respond_or_act,\bmeeting\b
103,support@cloud.com,Meeting Agenda,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert: multiple failed login attempts were recorded on your account.,respond_or_act,default_fallback
104,teamlead@company.com,Monthly Report,Please complete the mandatory training module before the deadline.,medium,respond,please complete the mandatory training module before the deadline.,respond_or_act,default_fallback
105,no-reply@service.com,Survey,Your order #8460 has been shipped and is expected to deliver by 2025-12-29.,high,respond,your order #8460 has been shipped and is expected to deliver by 2025-12-29.,respond_or_act,default_fallback
106,sales@shop.com,Account Suspended,Notice: Your account will be locked unless verification is completed.,medium,notify_human,notice: your account will be locked unless verification is completed.,respond_or_act,default_fallback
107,teamlead@company.com,Event Invitation,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",medium,ignore,"hi, don't miss our sale with discounts up to 70% on selected items. click to know more.",ignore,\bsale\b
108,no-reply@service.com,Invoice Due,Please complete the mandatory training module before the deadline.,low,respond,please complete the mandatory training module before the deadline.,respond_or_act,default_fallback
109,orders@ecom.com,Monthly Report,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice: your account will be locked unless verification is completed.,respond_or_act,default_fallback
110,hr@company.com,Action Required,Please complete the mandatory training module before the deadline.,medium,respond,please complete the mandatory training module before the deadline.,respond_or_act,default_fallback
111,teamlead@company.com,Invoice Due,"Hello team, please find the attached weekly report and action items for the project.",low,respond,"hello team, please find the attached weekly report and action items for the project.",respond_or_act,\battached\b
112,security@bank.com,Order Shipped,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,congratulations! you have been selected as a lucky winner. claim your prize now by clicking the link.,ignore,\bcongratulations\b
113,alerts@bank.com,Subscription Renewal,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert: multiple failed login attempts were recorded on your account.,respond_or_act,default_fallback
114,orders@ecom.com,Welcome to Service,Reminder: The client meeting is scheduled at 16:30 tomorrow. Prepare your slides.,low,respond,reminder: the client meeting is scheduled at 16:30 tomorrow. prepare your slides.,respond_or_act,\bmeeting\b
115,no-reply@service.com,Payment Overdue,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice: your account will be locked unless verification is completed.,respond_or_act,default_fallback
116,teamlead@company.com,Action Required,"Hello team, please find the attached weekly report and action items for the project.",low,respond,"hello team, please find the attached weekly report and action items for the project.",respond_or_act,\battached\b
117,teamlead@company.com,Security Alert,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",medium,notify_human,"dear user, we detected a login from a new device. if this wasn't you, reset your password immediately.",notify_human,\bpassword\b
118,sales@shop.com,Subscription Renewal,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,high,ignore,congratulations! you have been selected as a lucky winner. claim your prize now by clicking the link.,ignore,\bcongratulations\b
119,security@bank.com,Order Shipped,Your order #5835 has been shipped and is expected to deliver by 2025-12-23.,low,respond,your order #5835 has been shipped and is expected to deliver by 2025-12-23.,respond_or_act,default_fallback
120,teamlead@company.com,Project Update,Your invoice of INR 7041.91 is due on 2025-12-29. Please pay to avoid late fees.,low,respond,your invoice of inr 7041.91 is due on 2025-12-29. please pay to avoid late fees.,notify_human,\binvoice\b
121,no-reply@service.com,Order Shipped,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,congratulations! you have been selected as a lucky winner. claim your prize now by clicking the link.,ignore,\bcongratulations\b
122,teamlead@company.com,Survey,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,congratulations! you have been selected as a lucky winner. claim your prize now by clicking the link.,ignore,\bcongratulations\b
123,hr@company.com,Security Alert,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice: your account will be locked unless verification is completed.,respond_or_act,default_fallback
124,boss@company.com,Survey,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,congratulations! you have been selected as a lucky winner. claim your prize now by clicking the link.,ignore,\bcongratulations\b
125,alerts@bank.com,Meeting Agenda,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,"dear user, we detected a login from a new device. if this wasn't you, reset your password immediately.",notify_human,\bpassword\b
126,support@cloud.com,Meeting Agenda,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,security alert: multiple failed login attempts were recorded on your account.,respond_or_act,default_fallback
127,alerts@bank.com,Action Required,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice: your account will be locked unless verification is completed.,respond_or_act,default_fallback
128,sales@shop.com,Payment Overdue,"Hello team, please find the attached weekly report and action items for the project.",low,notify_human,"hello team, please find the attached weekly report and action items for the project.",respond_or_act,\battached\b
129,sales@shop.com,Invoice Due,Your order #6464 has been shipped and is expected to deliver by 2025-12-18.,low,respond,your order #6464 has been shipped and is expected to deliver by 2025-12-18.,respond_or_act,default_fallback
130,news@techblog.com,Promotion: Big Sale,Your invoice of INR 3896.2 is due on 2026-01-05. Please pay to avoid late fees.,medium,ignore,your invoice of inr 3896.2 is due on 2026-01-05. please pay to avoid late fees.,notify_human,\binvoice\b
131,sales@shop.com,Monthly Report,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",high,ignore,"hi, don't miss our sale with discounts up to 70% on selected items. click to know more.",ignore,\bsale\b
132,support@cloud.com,Security Alert,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,notify_human,"hi, don't miss our sale with discounts up to 70% on selected items. click to know more.",ignore,\bsale\b
133,sales@shop.com,Promotion: Big Sale,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,congratulations! you have been selected as a lucky winner. claim your prize now by clicking the link.,ignore,\bcongratulations\b
134,alerts@bank.com,Action Required,Your order #9254 has been shipped and is expected to deliver by 2025-12-28.,low,respond,your order #9254 has been shipped and is expected to deliver by 2025-12-28.,respond_or_act,default_fallback
135,boss@company.com,Unusual Login Attempt,Please complete the mandatory training module before the deadline.,medium,notify_human,please complete the mandatory training module before the deadline.,respond_or_act,default_fallback
136,teamlead@company.com,Invoice Due,Your order #6277 has been shipped and is expected to deliver by 2025-12-26.,medium,respond,your order #6277 has been shipped and is expected to deliver by 2025-12-26.,respond_or_act,default_fallback
137,alerts@bank.com,Meeting Agenda,Reminder: The client meeting is scheduled at 17:30 tomorrow. Prepare your slides.,high,respond,reminder: the client meeting is scheduled at 17:30 tomorrow. prepare your slides.,respond_or_act,\bmeeting\b
138,support@cloud.com,Order Shipped,Your order #4522 has been shipped and is expected to deliver by 2025-12-25.,low,respond,your order #4522 has been shipped and is expected to deliver by 2025-12-25.,respond_or_act,default_fallback
139,sales@shop.com,System Maintenance,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,congratulations! you have been selected as a lucky winner. claim your prize now by clicking the link.,ignore,\bcongratulations\b
140,orders@ecom.com,Payment Overdue,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,notify_human,"hi, don't miss our sale with discounts up to 70% on selected items. click to know more.",ignore,\bsale\b
141,alerts@bank.com,Payment Overdue,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,notify_human,"hi, don't miss our sale with discounts up to 70% on selected items. click to know more.",ignore,\bsale\b
142,teamlead@company.com,Unusual Login Attempt,Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,medium,notify_human,reminder: the client meeting is scheduled at 10:00 tomorrow. prepare your slides.,respond_or_act,\bmeeting\b
143,sales@shop.com,Invoice Due,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,congratulations! you have been selected as a lucky winner. claim your prize now by clicking the link.,ignore,\bcongratulations\b
144,support@cloud.com,Subscription Renewal,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice: your account will be locked unless verification is completed.,respond_or_act,default_fallback
145,orders@ecom.com,Monthly Report,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,congratulations! you have been selected as a lucky winner. claim your prize now by clicking the link.,ignore,\bcongratulations\b
146,security@bank.com,Weekly Newsletter,Please complete the mandatory training module before the deadline.,low,ignore,please complete the mandatory training module before the deadline.,respond_or_act,default_fallback
147,hr@company.com,Promotion: Big Sale,Notice: Your account will be locked unless verification is completed.,medium,notify_human,notice: your account will be locked unless verification is completed.,respond_or_act,default_fallback
148,orders@ecom.com,Welcome to Service,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,security alert: multiple failed login attempts were recorded on your account.,respond_or_act,default_fallback
149,alerts@bank.com,Payment Overdue,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert: multiple failed login attempts were recorded on your account.,respond_or_act,default_fallback
