id,email_text,expected_action,expected_tone
78,"Reminder: Submit your project proposal by tonight.",notify,urgent
79,"Hey, what's the status of the VaultKey app deployment?",respond,neutral
80,"Your OTP for login is 482910. Do not share this with anyone.",ignore,neutral
81,"Let's catch up over coffee sometime next week.",respond,polite
82,"The AC is not working in the lab. Who do I report this to?",respond,neutral
83,"Draft for review: Client proposal v2.",respond,neutral
84,"Congratulations on your work anniversary!",respond,polite
85,"Payment failed: Insufficient funds.",notify,urgent
86,"Please bring your ID card for the exam tomorrow.",notify,neutral
87,"Any update on the salary credited? It hasn't reflected yet.",respond,urgent
88,"The build failed on the CI/CD pipeline. Check the logs.",notify,urgent
89,"Lunch is on me today! Meet at the lobby at 1.",respond,casual
90,"Did you finish the documentation for the API?",respond,neutral
91,"Reminder: Return the projector to the IT desk.",notify,neutral
92,"Your AWS budget threshold has been exceeded.",notify,urgent
93,"Can you forward me the email from the Dean?",respond,neutral
94,"Alert: Heavy rain forecast. Drive safely.",ignore,neutral
95,"Please fill out this survey about your cafeteria experience.",ignore,neutral
96,"What time is the hackathon starting tomorrow?",respond,neutral
97,"Your request for a new laptop has been approved.",notify,polite
98,"Hey, are you joining the gaming session tonight?",ignore,casual
99,"Important: Changes to the company work-from-home policy.",notify,neutral
100,"Can you review the database schema for the new project?",respond,neutral
