email_text,expected_action,expected_tone,predicted_action,predicted_tone,action_correct,tone_correct
Kindly sign and return the attached consent form,respond,polite,ignore,neutral,False,False
The HR team has scheduled your interview for next week,respond,polite,ignore,neutral,False,False
This email is to inform you about the change in class timings,respond,neutral,ignore,neutral,False,True
Please submit the required documents by tomorrow,respond,urgent,respond,polite,True,False
Your scholarship application is under review,respond,polite,ignore,neutral,False,False
Reminder to update your resume on the placement portal,respond,neutral,ignore,neutral,False,True
Your participation certificate is now available,respond,polite,ignore,neutral,False,False
The faculty has shared important instructions for the exam,respond,urgent,ignore,neutral,False,False
Flash sale ending in two hours,ignore,neutral,ignore,neutral,True,True
Discover exciting offers on our new products,ignore,neutral,ignore,neutral,True,True
You are receiving this promotional email as a valued customer,ignore,neutral,ignore,neutral,True,True
Weekly deals and discounts just for you,ignore,neutral,ignore,neutral,True,True
Advertisement: upgrade to premium membership today,ignore,neutral,ignore,neutral,True,True
This is a sponsored message from our partners,ignore,neutral,ignore,neutral,True,True
Don’t forget to check out our holiday sale,ignore,neutral,ignore,neutral,True,True
Special cashback offer on selected purchases,ignore,neutral,ignore,neutral,True,True
Promotional content intended for marketing purposes,ignore,neutral,ignore,neutral,True,True
Click here to unsubscribe from these emails,ignore,neutral,ignore,neutral,True,True
Urgent security notice regarding your registered email address,notify,urgent,notify,urgent,True,True
Alert: your account password will expire today,notify,urgent,notify,urgent,True,True
Suspicious transaction detected on your credit card,notify,urgent,notify,urgent,True,True
Immediate verification required to avoid account suspension,notify,urgent,ignore,neutral,False,False
System alert: unauthorized device login attempt,notify,urgent,notify,urgent,True,True
Warning: unusual payment activity observed,notify,urgent,respond,polite,False,False
Account recovery action required immediately,notify,urgent,ignore,neutral,False,False
Security breach detected please reset your password,notify,urgent,notify,urgent,True,True
Your account access has been restricted temporarily,notify,urgent,ignore,neutral,False,False
High priority alert related to your profile security,notify,urgent,notify,urgent,True,True
Critical system notification requires your attention,notify,urgent,ignore,neutral,False,False
Fraud detection alert for your recent activity,notify,urgent,notify,urgent,True,True
Immediate response needed to secure your account,notify,urgent,ignore,neutral,False,False
Security team has flagged suspicious behavior,notify,urgent,notify,urgent,True,True
Verification failure detected please re authenticate,notify,urgent,ignore,neutral,False,False
Emergency notice regarding your account credentials,notify,urgent,ignore,neutral,False,False
Your account is at risk please take action now,notify,urgent,ignore,neutral,False,False
System generated alert for potential data breach,notify,urgent,notify,urgent,True,True
Important alert from security operations center,notify,urgent,notify,urgent,True,True
Final warning before account lockdown,notify,urgent,ignore,neutral,False,False
