email_id,email_text,expected_action,expected_tone,predicted_action,predicted_tone,action_correct,tone_correct
E077,Need more information about the next steps.,respond,neutral,respond,neutral,True,True
E078,Could you please share the updated project timeline?,respond,polite,respond,polite,True,True
E079,Could you please share the updated project timeline?,respond,polite,respond,polite,True,True
E080,Need more information about the next steps.,respond,neutral,respond,neutral,True,True
E081,This is an automated notification. No action is required.,ignore,neutral,respond,neutral,False,True
E082,FYI: System maintenance scheduled this weekend.,ignore,neutral,ignore,neutral,True,True
E083,Sharing this document for your reference.,ignore,neutral,respond,neutral,False,True
E084,FYI: System maintenance scheduled this weekend.,ignore,neutral,ignore,neutral,True,True
E085,This is an automated notification. No action is required.,ignore,neutral,respond,neutral,False,True
E086,This is an automated notification. No action is required.,ignore,neutral,respond,neutral,False,True
E087,Monthly newsletter: company updates and announcements.,ignore,neutral,respond,neutral,False,True
E088,Monthly newsletter: company updates and announcements.,ignore,neutral,respond,neutral,False,True
E089,Weekly digest of internal updates.,ignore,neutral,respond,neutral,False,True
E090,Weekly digest of internal updates.,ignore,neutral,respond,neutral,False,True
E091,Sharing this document for your reference.,ignore,neutral,respond,neutral,False,True
E092,Sharing this document for your reference.,ignore,neutral,respond,neutral,False,True
E093,Sharing this document for your reference.,ignore,neutral,respond,neutral,False,True
E094,Weekly digest of internal updates.,ignore,neutral,respond,neutral,False,True
E095,This is an automated notification. No action is required.,ignore,neutral,respond,neutral,False,True
E096,Weekly digest of internal updates.,ignore,neutral,respond,neutral,False,True
E097,This is an automated notification. No action is required.,ignore,neutral,respond,neutral,False,True
E098,Monthly newsletter: company updates and announcements.,ignore,neutral,respond,neutral,False,True
E099,Monthly newsletter: company updates and announcements.,ignore,neutral,respond,neutral,False,True
E100,Sharing this document for your reference.,ignore,neutral,respond,neutral,False,True
