id,email_text,expected_action,expected_tone
77,"Dear Sam, just a quick reminder that we have a meeting regarding product pricing on 18 Mar 2024 at 10:30.",respond,polite
78,"Dear Alex, just a quick reminder that we have a meeting regarding course registration on 19 Mar 2024 at 15:00.",respond,polite
79,"Hello Rohit, this is a follow-up regarding the pending invoice #2710. Please clear the dues by 20 Mar 2024.",respond,urgent
80,"Dear Sam, your application for the Data Analyst internship has moved to the next stage. Further details will be shared soon.",notify,polite
81,"Dear Aditi, just a quick reminder that we have a meeting regarding project progress on 22 Mar 2024 at 14:00.",respond,polite
82,"Hello, I would like to know more about your services, specifically related to budget planning. Please share details.",respond,neutral
83,"Hello Alex, reminding you about the upcoming meeting on 24 Mar 2024 at 11:00 to discuss project progress.",respond,polite
84,"Hi Kiran, you have been shortlisted for the Software Intern internship. Please wait for the official communication.",notify,polite
85,"Hi Alex, this is a reminder about our course registration meeting scheduled on 26 Mar 2024 at 13:00. Please confirm your availability.",respond,polite
86,"Hello Pranaya, this is to inform you that your academic submission for AI Fundamentals has been reviewed.",notify,polite
87,"Hi team, could you provide information about research review? I am evaluating available options.",respond,neutral
88,"Good day, I have a query regarding research review. Kindly clarify at your convenience.",respond,neutral
89,"Hi team, could you provide information about project progress? I am evaluating available options.",respond,neutral
90,"Hi Ananya, payment for invoice #9578 has not yet been received. Immediate attention is requested.",respond,urgent
91,"Dear Sam, just a quick reminder that we have a meeting regarding budget planning on 01 Apr 2024 at 14:00.",respond,polite
92,"Hello Rohit, this is to inform you that your academic submission for Operating Systems has been reviewed.",notify,polite
93,"Hello Ananya, reminding you about the upcoming meeting on 03 Apr 2024 at 15:30 to discuss project progress.",respond,polite
94,"Hello Pranaya, reminding you about the upcoming meeting on 04 Apr 2024 at 16:30 to discuss budget planning.",respond,polite
95,"Dear Alex, just a quick reminder that we have a meeting regarding research review on 05 Apr 2024 at 9:00.",respond,polite
96,"Dear Pranaya, just a quick reminder that we have a meeting regarding research review on 06 Apr 2024 at 13:30.",respond,polite
97,"Hello Kiran, this is to inform you that your academic submission for AI Fundamentals has been reviewed.",notify,polite
98,"Hi Alex, this is a reminder about our course registration meeting scheduled on 08 Apr 2024 at 17:00. Please confirm your availability.",respond,polite
99,"Hi team, could you provide information about product pricing? I am evaluating available options.",respond,neutral
100,"Hello Aditi, this is a follow-up regarding the pending invoice #6011. Please clear the dues by 10 Apr 2024.",respond,urgent
