id,body,predicted_intent,predicted_tone,confidence,decision,final_action
80,Please complete the mandatory training module before the deadline.,notify,urgent,0.9,AUTO_APPROVED,notify
81,Reminder: The client meeting is scheduled at 12:30 tomorrow. Prepare your slides.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
82,Your invoice of INR 37060.93 is due on 2025-12-20. Please pay to avoid late fees.,respond,polite,0.8,AUTO_APPROVED,respond
83,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
84,Reminder: The client meeting is scheduled at 16:00 tomorrow. Prepare your slides.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
85,Your order #2869 has been shipped and is expected to deliver by 2025-12-13.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
86,"Hello team, please find the attached weekly report and action items for the project.",respond,polite,0.8,AUTO_APPROVED,respond
87,Your invoice of INR 6363.35 is due on 2026-01-05. Please pay to avoid late fees.,respond,polite,0.8,AUTO_APPROVED,respond
88,Notice: Your account will be locked unless verification is completed.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
89,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
90,Reminder: The client meeting is scheduled at 13:30 tomorrow. Prepare your slides.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
91,Your invoice of INR 21544.38 is due on 2025-12-29. Please pay to avoid late fees.,respond,polite,0.8,AUTO_APPROVED,respond
92,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
93,Reminder: The client meeting is scheduled at 16:00 tomorrow. Prepare your slides.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
94,Reminder: The client meeting is scheduled at 9:30 tomorrow. Prepare your slides.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
95,Please complete the mandatory training module before the deadline.,notify,urgent,0.9,AUTO_APPROVED,notify
96,Your order #3634 has been shipped and is expected to deliver by 2025-12-22.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
97,Security alert: multiple failed login attempts were recorded on your account.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
98,Security alert: multiple failed login attempts were recorded on your account.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
99,Notice: Your account will be locked unless verification is completed.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
100,Your order #4920 has been shipped and is expected to deliver by 2025-12-27.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
101,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",notify,urgent,0.9,AUTO_APPROVED,notify
102,Reminder: The client meeting is scheduled at 15:30 tomorrow. Prepare your slides.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
103,Security alert: multiple failed login attempts were recorded on your account.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
104,Please complete the mandatory training module before the deadline.,notify,urgent,0.9,AUTO_APPROVED,notify
105,Your order #8460 has been shipped and is expected to deliver by 2025-12-29.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
106,Notice: Your account will be locked unless verification is completed.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
107,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
108,Please complete the mandatory training module before the deadline.,notify,urgent,0.9,AUTO_APPROVED,notify
109,Notice: Your account will be locked unless verification is completed.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
110,Please complete the mandatory training module before the deadline.,notify,urgent,0.9,AUTO_APPROVED,notify
111,"Hello team, please find the attached weekly report and action items for the project.",respond,polite,0.8,AUTO_APPROVED,respond
112,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
113,Security alert: multiple failed login attempts were recorded on your account.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
114,Reminder: The client meeting is scheduled at 16:30 tomorrow. Prepare your slides.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
115,Notice: Your account will be locked unless verification is completed.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
116,"Hello team, please find the attached weekly report and action items for the project.",respond,polite,0.8,AUTO_APPROVED,respond
117,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",notify,urgent,0.9,AUTO_APPROVED,notify
118,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
119,Your order #5835 has been shipped and is expected to deliver by 2025-12-23.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
120,Your invoice of INR 7041.91 is due on 2025-12-29. Please pay to avoid late fees.,respond,polite,0.8,AUTO_APPROVED,respond
121,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
122,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
123,Notice: Your account will be locked unless verification is completed.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
124,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
125,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",notify,urgent,0.9,AUTO_APPROVED,notify
126,Security alert: multiple failed login attempts were recorded on your account.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
127,Notice: Your account will be locked unless verification is completed.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
128,"Hello team, please find the attached weekly report and action items for the project.",respond,polite,0.8,AUTO_APPROVED,respond
129,Your order #6464 has been shipped and is expected to deliver by 2025-12-18.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
130,Your invoice of INR 3896.2 is due on 2026-01-05. Please pay to avoid late fees.,respond,polite,0.8,AUTO_APPROVED,respond
131,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
132,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
133,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
134,Your order #9254 has been shipped and is expected to deliver by 2025-12-28.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
135,Please complete the mandatory training module before the deadline.,notify,urgent,0.9,AUTO_APPROVED,notify
136,Your order #6277 has been shipped and is expected to deliver by 2025-12-26.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
137,Reminder: The client meeting is scheduled at 17:30 tomorrow. Prepare your slides.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
138,Your order #4522 has been shipped and is expected to deliver by 2025-12-25.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
139,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
140,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
141,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
142,Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
143,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
144,Notice: Your account will be locked unless verification is completed.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
145,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
146,Please complete the mandatory training module before the deadline.,notify,urgent,0.9,AUTO_APPROVED,notify
147,Notice: Your account will be locked unless verification is completed.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
148,Security alert: multiple failed login attempts were recorded on your account.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
149,Security alert: multiple failed login attempts were recorded on your account.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
150,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",notify,urgent,0.9,AUTO_APPROVED,notify
151,Security alert: multiple failed login attempts were recorded on your account.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
152,Security alert: multiple failed login attempts were recorded on your account.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
153,Security alert: multiple failed login attempts were recorded on your account.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
154,Notice: Your account will be locked unless verification is completed.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
155,Notice: Your account will be locked unless verification is completed.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
156,Please complete the mandatory training module before the deadline.,notify,urgent,0.9,AUTO_APPROVED,notify
157,"Hello team, please find the attached weekly report and action items for the project.",respond,polite,0.8,AUTO_APPROVED,respond
158,Notice: Your account will be locked unless verification is completed.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
159,Reminder: The client meeting is scheduled at 9:30 tomorrow. Prepare your slides.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
160,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",notify,urgent,0.9,AUTO_APPROVED,notify
161,Your order #4084 has been shipped and is expected to deliver by 2026-01-06.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
162,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
163,Your invoice of INR 35527.27 is due on 2025-12-26. Please pay to avoid late fees.,respond,polite,0.8,AUTO_APPROVED,respond
164,Security alert: multiple failed login attempts were recorded on your account.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
165,Reminder: The client meeting is scheduled at 11:30 tomorrow. Prepare your slides.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
166,Reminder: The client meeting is scheduled at 15:00 tomorrow. Prepare your slides.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
167,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
168,Reminder: The client meeting is scheduled at 14:30 tomorrow. Prepare your slides.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
169,"Hello team, please find the attached weekly report and action items for the project.",respond,polite,0.8,AUTO_APPROVED,respond
170,Notice: Your account will be locked unless verification is completed.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
171,Your order #9749 has been shipped and is expected to deliver by 2026-01-05.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
172,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
173,Security alert: multiple failed login attempts were recorded on your account.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
174,Please complete the mandatory training module before the deadline.,notify,urgent,0.9,AUTO_APPROVED,notify
175,Your order #4637 has been shipped and is expected to deliver by 2025-12-16.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
176,Security alert: multiple failed login attempts were recorded on your account.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
177,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",notify,urgent,0.9,AUTO_APPROVED,notify
178,Your order #5193 has been shipped and is expected to deliver by 2025-12-12.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
179,Notice: Your account will be locked unless verification is completed.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
180,Notice: Your account will be locked unless verification is completed.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
181,Security alert: multiple failed login attempts were recorded on your account.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
182,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
183,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
184,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
185,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
186,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
187,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
188,Your order #9129 has been shipped and is expected to deliver by 2025-12-24.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
189,Reminder: The client meeting is scheduled at 15:00 tomorrow. Prepare your slides.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
190,Reminder: The client meeting is scheduled at 14:30 tomorrow. Prepare your slides.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
191,Your order #5498 has been shipped and is expected to deliver by 2025-12-13.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
192,Security alert: multiple failed login attempts were recorded on your account.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
193,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
194,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
195,Security alert: multiple failed login attempts were recorded on your account.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
196,Security alert: multiple failed login attempts were recorded on your account.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
197,Your order #3828 has been shipped and is expected to deliver by 2025-12-16.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
198,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
199,Please complete the mandatory training module before the deadline.,notify,urgent,0.9,AUTO_APPROVED,notify
200,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
