id,sender,subject,body,priority,triage_label,clean_subject,clean_body,clean_text,triage_output
43,teamlead@company.com,Subscription Renewal,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,subscription renewal,hi don t miss our sale with discounts up to 70 on selected items click to know more,subscription renewal hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
44,hr@company.com,System Maintenance,Your invoice of INR 13706.88 is due on 2026-01-06. Please pay to avoid late fees.,medium,respond,system maintenance,your invoice of inr 13706 88 is due on 2026 01 06 please pay to avoid late fees,system maintenance your invoice of inr 13706 88 is due on 2026 01 06 please pay to avoid late fees,respond_or_act
45,sales@shop.com,Congratulations! You've Won,Your order #1387 has been shipped and is expected to deliver by 2026-01-07.,medium,respond,congratulations you ve won,your order 1387 has been shipped and is expected to deliver by 2026 01 07,congratulations you ve won your order 1387 has been shipped and is expected to deliver by 2026 01 07,notify_human
46,teamlead@company.com,Monthly Report,Reminder: The client meeting is scheduled at 13:30 tomorrow. Prepare your slides.,low,respond,monthly report,reminder the client meeting is scheduled at 13 30 tomorrow prepare your slides,monthly report reminder the client meeting is scheduled at 13 30 tomorrow prepare your slides,notify_human
47,support@cloud.com,Monthly Report,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,monthly report,dear user we detected a login from a new device if this wasn t you reset your password immediately,monthly report dear user we detected a login from a new device if this wasn t you reset your password immediately,notify_human
48,teamlead@company.com,Payment Overdue,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,notify_human,payment overdue,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,payment overdue congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
49,teamlead@company.com,Password Reset Request,Please complete the mandatory training module before the deadline.,low,notify_human,password reset request,please complete the mandatory training module before the deadline,password reset request please complete the mandatory training module before the deadline,respond_or_act
50,hr@company.com,Subscription Renewal,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,subscription renewal,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,subscription renewal congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
51,orders@ecom.com,Survey,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,survey,hi don t miss our sale with discounts up to 70 on selected items click to know more,survey hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
52,security@bank.com,Order Shipped,Reminder: The client meeting is scheduled at 14:30 tomorrow. Prepare your slides.,low,respond,order shipped,reminder the client meeting is scheduled at 14 30 tomorrow prepare your slides,order shipped reminder the client meeting is scheduled at 14 30 tomorrow prepare your slides,notify_human
53,sales@shop.com,Policy Update,Your order #5649 has been shipped and is expected to deliver by 2026-01-06.,low,respond,policy update,your order 5649 has been shipped and is expected to deliver by 2026 01 06,policy update your order 5649 has been shipped and is expected to deliver by 2026 01 06,respond_or_act
54,boss@company.com,Monthly Report,"Hello team, please find the attached weekly report and action items for the project.",medium,respond,monthly report,hello team please find the attached weekly report and action items for the project,monthly report hello team please find the attached weekly report and action items for the project,notify_human
55,news@techblog.com,Password Reset Request,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",medium,notify_human,password reset request,dear user we detected a login from a new device if this wasn t you reset your password immediately,password reset request dear user we detected a login from a new device if this wasn t you reset your password immediately,respond_or_act
56,boss@company.com,Congratulations! You've Won,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,congratulations you ve won,security alert multiple failed login attempts were recorded on your account,congratulations you ve won security alert multiple failed login attempts were recorded on your account,notify_human
57,sales@shop.com,Project Update,Please complete the mandatory training module before the deadline.,low,respond,project update,please complete the mandatory training module before the deadline,project update please complete the mandatory training module before the deadline,respond_or_act
58,no-reply@service.com,Policy Update,Please complete the mandatory training module before the deadline.,low,respond,policy update,please complete the mandatory training module before the deadline,policy update please complete the mandatory training module before the deadline,respond_or_act
59,news@techblog.com,Action Required,Your order #4919 has been shipped and is expected to deliver by 2025-12-19.,low,respond,action required,your order 4919 has been shipped and is expected to deliver by 2025 12 19,action required your order 4919 has been shipped and is expected to deliver by 2025 12 19,notify_human
60,alerts@bank.com,Order Shipped,Your invoice of INR 13949.9 is due on 2025-12-22. Please pay to avoid late fees.,low,respond,order shipped,your invoice of inr 13949 9 is due on 2025 12 22 please pay to avoid late fees,order shipped your invoice of inr 13949 9 is due on 2025 12 22 please pay to avoid late fees,respond_or_act
61,teamlead@company.com,Meeting Agenda,Your invoice of INR 3679.33 is due on 2025-12-25. Please pay to avoid late fees.,low,respond,meeting agenda,your invoice of inr 3679 33 is due on 2025 12 25 please pay to avoid late fees,meeting agenda your invoice of inr 3679 33 is due on 2025 12 25 please pay to avoid late fees,respond_or_act
62,teamlead@company.com,Event Invitation,Notice: Your account will be locked unless verification is completed.,high,notify_human,event invitation,notice your account will be locked unless verification is completed,event invitation notice your account will be locked unless verification is completed,notify_human
63,orders@ecom.com,Event Invitation,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,event invitation,security alert multiple failed login attempts were recorded on your account,event invitation security alert multiple failed login attempts were recorded on your account,notify_human
64,teamlead@company.com,Action Required,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",high,notify_human,action required,dear user we detected a login from a new device if this wasn t you reset your password immediately,action required dear user we detected a login from a new device if this wasn t you reset your password immediately,notify_human
65,boss@company.com,Survey,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,survey,dear user we detected a login from a new device if this wasn t you reset your password immediately,survey dear user we detected a login from a new device if this wasn t you reset your password immediately,notify_human
66,no-reply@service.com,Project Update,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,project update,dear user we detected a login from a new device if this wasn t you reset your password immediately,project update dear user we detected a login from a new device if this wasn t you reset your password immediately,respond_or_act
67,teamlead@company.com,Security Alert,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert,security alert multiple failed login attempts were recorded on your account,security alert security alert multiple failed login attempts were recorded on your account,notify_human
68,hr@company.com,Account Suspended,"Hello team, please find the attached weekly report and action items for the project.",low,notify_human,account suspended,hello team please find the attached weekly report and action items for the project,account suspended hello team please find the attached weekly report and action items for the project,notify_human
69,security@bank.com,Subscription Renewal,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",medium,ignore,subscription renewal,hi don t miss our sale with discounts up to 70 on selected items click to know more,subscription renewal hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
70,hr@company.com,Project Update,Notice: Your account will be locked unless verification is completed.,low,notify_human,project update,notice your account will be locked unless verification is completed,project update notice your account will be locked unless verification is completed,respond_or_act
71,security@bank.com,Order Shipped,Notice: Your account will be locked unless verification is completed.,low,notify_human,order shipped,notice your account will be locked unless verification is completed,order shipped notice your account will be locked unless verification is completed,notify_human
72,sales@shop.com,Invoice Due,Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,low,respond,invoice due,reminder the client meeting is scheduled at 10 00 tomorrow prepare your slides,invoice due reminder the client meeting is scheduled at 10 00 tomorrow prepare your slides,respond_or_act
73,hr@company.com,Weekly Newsletter,Please complete the mandatory training module before the deadline.,low,ignore,weekly newsletter,please complete the mandatory training module before the deadline,weekly newsletter please complete the mandatory training module before the deadline,notify_human
74,hr@company.com,Welcome to Service,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",medium,ignore,welcome to service,hi don t miss our sale with discounts up to 70 on selected items click to know more,welcome to service hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
75,no-reply@service.com,System Maintenance,Notice: Your account will be locked unless verification is completed.,medium,notify_human,system maintenance,notice your account will be locked unless verification is completed,system maintenance notice your account will be locked unless verification is completed,notify_human
76,sales@shop.com,Welcome to Service,Notice: Your account will be locked unless verification is completed.,medium,notify_human,welcome to service,notice your account will be locked unless verification is completed,welcome to service notice your account will be locked unless verification is completed,notify_human
77,news@techblog.com,Action Required,Your invoice of INR 18063.84 is due on 2025-12-20. Please pay to avoid late fees.,low,respond,action required,your invoice of inr 18063 84 is due on 2025 12 20 please pay to avoid late fees,action required your invoice of inr 18063 84 is due on 2025 12 20 please pay to avoid late fees,respond_or_act
78,support@cloud.com,Congratulations! You've Won,"Hello team, please find the attached weekly report and action items for the project.",medium,respond,congratulations you ve won,hello team please find the attached weekly report and action items for the project,congratulations you ve won hello team please find the attached weekly report and action items for the project,notify_human
79,no-reply@service.com,Welcome to Service,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",medium,notify_human,welcome to service,dear user we detected a login from a new device if this wasn t you reset your password immediately,welcome to service dear user we detected a login from a new device if this wasn t you reset your password immediately,notify_human
80,hr@company.com,Action Required,Please complete the mandatory training module before the deadline.,medium,respond,action required,please complete the mandatory training module before the deadline,action required please complete the mandatory training module before the deadline,notify_human
81,orders@ecom.com,Order Shipped,Reminder: The client meeting is scheduled at 12:30 tomorrow. Prepare your slides.,medium,respond,order shipped,reminder the client meeting is scheduled at 12 30 tomorrow prepare your slides,order shipped reminder the client meeting is scheduled at 12 30 tomorrow prepare your slides,notify_human
82,news@techblog.com,Congratulations! You've Won,Your invoice of INR 37060.93 is due on 2025-12-20. Please pay to avoid late fees.,medium,respond,congratulations you ve won,your invoice of inr 37060 93 is due on 2025 12 20 please pay to avoid late fees,congratulations you ve won your invoice of inr 37060 93 is due on 2025 12 20 please pay to avoid late fees,respond_or_act
83,orders@ecom.com,Account Suspended,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,notify_human,account suspended,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,account suspended congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
84,security@bank.com,Survey,Reminder: The client meeting is scheduled at 16:00 tomorrow. Prepare your slides.,low,respond,survey,reminder the client meeting is scheduled at 16 00 tomorrow prepare your slides,survey reminder the client meeting is scheduled at 16 00 tomorrow prepare your slides,notify_human
85,no-reply@service.com,Action Required,Your order #2869 has been shipped and is expected to deliver by 2025-12-13.,medium,respond,action required,your order 2869 has been shipped and is expected to deliver by 2025 12 13,action required your order 2869 has been shipped and is expected to deliver by 2025 12 13,notify_human
86,teamlead@company.com,Action Required,"Hello team, please find the attached weekly report and action items for the project.",medium,respond,action required,hello team please find the attached weekly report and action items for the project,action required hello team please find the attached weekly report and action items for the project,notify_human
87,orders@ecom.com,Weekly Newsletter,Your invoice of INR 6363.35 is due on 2026-01-05. Please pay to avoid late fees.,low,ignore,weekly newsletter,your invoice of inr 6363 35 is due on 2026 01 05 please pay to avoid late fees,weekly newsletter your invoice of inr 6363 35 is due on 2026 01 05 please pay to avoid late fees,respond_or_act
88,no-reply@service.com,Order Shipped,Notice: Your account will be locked unless verification is completed.,medium,notify_human,order shipped,notice your account will be locked unless verification is completed,order shipped notice your account will be locked unless verification is completed,notify_human
89,orders@ecom.com,Weekly Newsletter,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,weekly newsletter,hi don t miss our sale with discounts up to 70 on selected items click to know more,weekly newsletter hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
90,boss@company.com,Action Required,Reminder: The client meeting is scheduled at 13:30 tomorrow. Prepare your slides.,medium,respond,action required,reminder the client meeting is scheduled at 13 30 tomorrow prepare your slides,action required reminder the client meeting is scheduled at 13 30 tomorrow prepare your slides,notify_human
91,orders@ecom.com,Promotion: Big Sale,Your invoice of INR 21544.38 is due on 2025-12-29. Please pay to avoid late fees.,medium,ignore,promotion big sale,your invoice of inr 21544 38 is due on 2025 12 29 please pay to avoid late fees,promotion big sale your invoice of inr 21544 38 is due on 2025 12 29 please pay to avoid late fees,ignore
92,alerts@bank.com,Unusual Login Attempt,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,notify_human,unusual login attempt,hi don t miss our sale with discounts up to 70 on selected items click to know more,unusual login attempt hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
93,orders@ecom.com,Event Invitation,Reminder: The client meeting is scheduled at 16:00 tomorrow. Prepare your slides.,medium,respond,event invitation,reminder the client meeting is scheduled at 16 00 tomorrow prepare your slides,event invitation reminder the client meeting is scheduled at 16 00 tomorrow prepare your slides,notify_human
94,hr@company.com,Subscription Renewal,Reminder: The client meeting is scheduled at 9:30 tomorrow. Prepare your slides.,medium,respond,subscription renewal,reminder the client meeting is scheduled at 9 30 tomorrow prepare your slides,subscription renewal reminder the client meeting is scheduled at 9 30 tomorrow prepare your slides,notify_human
95,news@techblog.com,Action Required,Please complete the mandatory training module before the deadline.,medium,respond,action required,please complete the mandatory training module before the deadline,action required please complete the mandatory training module before the deadline,notify_human
96,no-reply@service.com,Weekly Newsletter,Your order #3634 has been shipped and is expected to deliver by 2025-12-22.,low,ignore,weekly newsletter,your order 3634 has been shipped and is expected to deliver by 2025 12 22,weekly newsletter your order 3634 has been shipped and is expected to deliver by 2025 12 22,notify_human
97,no-reply@service.com,Order Shipped,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,order shipped,security alert multiple failed login attempts were recorded on your account,order shipped security alert multiple failed login attempts were recorded on your account,notify_human
98,hr@company.com,Invoice Due,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,invoice due,security alert multiple failed login attempts were recorded on your account,invoice due security alert multiple failed login attempts were recorded on your account,respond_or_act
99,support@cloud.com,Payment Overdue,Notice: Your account will be locked unless verification is completed.,low,notify_human,payment overdue,notice your account will be locked unless verification is completed,payment overdue notice your account will be locked unless verification is completed,notify_human
100,news@techblog.com,Order Shipped,Your order #4920 has been shipped and is expected to deliver by 2025-12-27.,medium,respond,order shipped,your order 4920 has been shipped and is expected to deliver by 2025 12 27,order shipped your order 4920 has been shipped and is expected to deliver by 2025 12 27,notify_human
101,orders@ecom.com,Survey,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",high,notify_human,survey,dear user we detected a login from a new device if this wasn t you reset your password immediately,survey dear user we detected a login from a new device if this wasn t you reset your password immediately,notify_human
102,news@techblog.com,Action Required,Reminder: The client meeting is scheduled at 15:30 tomorrow. Prepare your slides.,low,respond,action required,reminder the client meeting is scheduled at 15 30 tomorrow prepare your slides,action required reminder the client meeting is scheduled at 15 30 tomorrow prepare your slides,notify_human
103,support@cloud.com,Meeting Agenda,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,meeting agenda,security alert multiple failed login attempts were recorded on your account,meeting agenda security alert multiple failed login attempts were recorded on your account,notify_human
104,teamlead@company.com,Monthly Report,Please complete the mandatory training module before the deadline.,medium,respond,monthly report,please complete the mandatory training module before the deadline,monthly report please complete the mandatory training module before the deadline,notify_human
105,no-reply@service.com,Survey,Your order #8460 has been shipped and is expected to deliver by 2025-12-29.,high,respond,survey,your order 8460 has been shipped and is expected to deliver by 2025 12 29,survey your order 8460 has been shipped and is expected to deliver by 2025 12 29,notify_human
106,sales@shop.com,Account Suspended,Notice: Your account will be locked unless verification is completed.,medium,notify_human,account suspended,notice your account will be locked unless verification is completed,account suspended notice your account will be locked unless verification is completed,notify_human
107,teamlead@company.com,Event Invitation,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",medium,ignore,event invitation,hi don t miss our sale with discounts up to 70 on selected items click to know more,event invitation hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
108,no-reply@service.com,Invoice Due,Please complete the mandatory training module before the deadline.,low,respond,invoice due,please complete the mandatory training module before the deadline,invoice due please complete the mandatory training module before the deadline,respond_or_act
109,orders@ecom.com,Monthly Report,Notice: Your account will be locked unless verification is completed.,low,notify_human,monthly report,notice your account will be locked unless verification is completed,monthly report notice your account will be locked unless verification is completed,notify_human
110,hr@company.com,Action Required,Please complete the mandatory training module before the deadline.,medium,respond,action required,please complete the mandatory training module before the deadline,action required please complete the mandatory training module before the deadline,notify_human
111,teamlead@company.com,Invoice Due,"Hello team, please find the attached weekly report and action items for the project.",low,respond,invoice due,hello team please find the attached weekly report and action items for the project,invoice due hello team please find the attached weekly report and action items for the project,respond_or_act
112,security@bank.com,Order Shipped,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,order shipped,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,order shipped congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
113,alerts@bank.com,Subscription Renewal,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,subscription renewal,security alert multiple failed login attempts were recorded on your account,subscription renewal security alert multiple failed login attempts were recorded on your account,notify_human
114,orders@ecom.com,Welcome to Service,Reminder: The client meeting is scheduled at 16:30 tomorrow. Prepare your slides.,low,respond,welcome to service,reminder the client meeting is scheduled at 16 30 tomorrow prepare your slides,welcome to service reminder the client meeting is scheduled at 16 30 tomorrow prepare your slides,notify_human
115,no-reply@service.com,Payment Overdue,Notice: Your account will be locked unless verification is completed.,low,notify_human,payment overdue,notice your account will be locked unless verification is completed,payment overdue notice your account will be locked unless verification is completed,notify_human
116,teamlead@company.com,Action Required,"Hello team, please find the attached weekly report and action items for the project.",low,respond,action required,hello team please find the attached weekly report and action items for the project,action required hello team please find the attached weekly report and action items for the project,notify_human
117,teamlead@company.com,Security Alert,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",medium,notify_human,security alert,dear user we detected a login from a new device if this wasn t you reset your password immediately,security alert dear user we detected a login from a new device if this wasn t you reset your password immediately,notify_human
118,sales@shop.com,Subscription Renewal,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,high,ignore,subscription renewal,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,subscription renewal congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
119,security@bank.com,Order Shipped,Your order #5835 has been shipped and is expected to deliver by 2025-12-23.,low,respond,order shipped,your order 5835 has been shipped and is expected to deliver by 2025 12 23,order shipped your order 5835 has been shipped and is expected to deliver by 2025 12 23,notify_human
