email_text,expected_action,expected_tone,assistant_output,predicted_action,predicted_tone,action_correct,tone_correct
Promotion: Weekend flash sale on clothing items!,ignore,neutral,"('ignore', 'neutral')",ignore,neutral,True,True
System notification: Disk space running low.,notify,urgent,"('respond', 'polite')",respond,polite,False,False
Invitation: Attend online workshop on digital marketing.,respond,polite,"('respond', 'polite')",respond,polite,True,True
Newsletter: Monthly updates from the tech community.,ignore,neutral,"('ignore', 'neutral')",ignore,neutral,True,True
Reminder: Complete your profile information on the portal.,respond,polite,"('respond', 'polite')",respond,polite,True,True
Alert: Unauthorized access detected in your email account.,notify,urgent,"('notify', 'urgent')",notify,urgent,True,True
Your order delivery has been rescheduled to next Monday.,respond,neutral,"('respond', 'polite')",respond,polite,True,False
Promotion: Special cashback offer for online purchases!,ignore,neutral,"('ignore', 'neutral')",ignore,neutral,True,True
Security alert: Change your password immediately.,notify,urgent,"('notify', 'urgent')",notify,urgent,True,True
Invitation: Join our weekly virtual coffee chat.,respond,polite,"('respond', 'polite')",respond,polite,True,True
Weekly roundup: Popular articles and videos.,ignore,neutral,"('respond', 'polite')",respond,polite,False,False
Reminder: Doctor's appointment on Friday at 2 PM.,respond,polite,"('respond', 'polite')",respond,polite,True,True
Alert: Low account balance in your bank account.,notify,urgent,"('notify', 'urgent')",notify,urgent,True,True
Your flight ticket has been issued and is ready for download.,respond,neutral,"('respond', 'polite')",respond,polite,True,False
Promotion: End of season sale - up to 50% off!,ignore,neutral,"('ignore', 'neutral')",ignore,neutral,True,True
System update: New features available in your software.,notify,neutral,"('respond', 'polite')",respond,polite,False,False
