email_text,expected_action,expected_tone,clean_text,assistant_output,predicted_action,predicted_tone,action_correct,tone_correct
Your refund has been processed.,ignore,neutral,your refund has been processed,"('respond', 'neutral')",respond,neutral,False,True
Meeting room booking confirmed.,ignore,neutral,meeting room booking confirmed,"('respond', 'neutral')",respond,neutral,False,True
Request approval for leave on Monday.,respond,polite,request approval for leave on monday,"('respond', 'neutral')",respond,neutral,True,False
System alert: Disk space running low.,notify,urgent,system alert disk space running low,"('respond', 'neutral')",respond,neutral,False,False
Thank you for attending the workshop.,ignore,polite,thank you for attending the workshop,"('ignore', 'polite')",ignore,polite,True,True
Urgent reminder: Client demo in one hour.,notify,urgent,urgent reminder client demo in one hour,"('notify', 'urgent')",notify,urgent,True,True
Your OTP for transaction verification.,respond,urgent,your otp for transaction verification,"('respond', 'neutral')",respond,neutral,True,False
Office will remain closed tomorrow.,notify,neutral,office will remain closed tomorrow,"('respond', 'neutral')",respond,neutral,False,True
Please update your contact details.,respond,polite,please update your contact details,"('respond', 'neutral')",respond,neutral,True,False
Reminder: Training completion pending.,respond,polite,reminder training completion pending,"('respond', 'neutral')",respond,neutral,True,False
Job application status update.,notify,neutral,job application status update,"('respond', 'neutral')",respond,neutral,False,True
Security patch deployment scheduled.,notify,neutral,security patch deployment scheduled,"('respond', 'neutral')",respond,neutral,False,True
Event invitation: Hackathon registration open.,ignore,polite,event invitation hackathon registration open,"('respond', 'neutral')",respond,neutral,False,False
Payment confirmation for invoice #8891.,ignore,neutral,payment confirmation for invoice,"('respond', 'neutral')",respond,neutral,False,True
Urgent: Data breach suspected.,notify,urgent,urgent data breach suspected,"('notify', 'urgent')",notify,urgent,True,True
Team outing photos shared.,ignore,neutral,team outing photos shared,"('respond', 'neutral')",respond,neutral,False,True
Please submit timesheet before EOD.,respond,urgent,please submit timesheet before eod,"('notify', 'urgent')",notify,urgent,False,True
Your cloud usage exceeded the free limit.,notify,urgent,your cloud usage exceeded the free limit,"('respond', 'neutral')",respond,neutral,False,False
Holiday announcement for next week.,notify,neutral,holiday announcement for next week,"('respond', 'neutral')",respond,neutral,False,True
Feedback requested for recent purchase.,ignore,neutral,feedback requested for recent purchase,"('respond', 'neutral')",respond,neutral,False,True
Client meeting agenda attached.,respond,polite,client meeting agenda attached,"('respond', 'neutral')",respond,neutral,True,False
Reminder: Insurance renewal due.,respond,urgent,reminder insurance renewal due,"('respond', 'neutral')",respond,neutral,True,False
System reboot scheduled in 30 minutes.,notify,urgent,system reboot scheduled in minutes,"('respond', 'neutral')",respond,neutral,False,False
Training session recording available.,ignore,neutral,training session recording available,"('respond', 'neutral')",respond,neutral,False,True
Immediate response required: Legal notice received.,notify,urgent,immediate response required legal notice received,"('respond', 'neutral')",respond,neutral,False,False
Thank you for your payment.,ignore,polite,thank you for your payment,"('ignore', 'polite')",ignore,polite,True,True
Reminder: Update project status tracker.,respond,polite,reminder update project status tracker,"('respond', 'neutral')",respond,neutral,True,False
Application shortlisted for next round.,notify,polite,application shortlisted for next round,"('respond', 'neutral')",respond,neutral,False,False
Server backup completed successfully.,ignore,neutral,server backup completed successfully,"('respond', 'neutral')",respond,neutral,False,True
Alert: Unauthorized access attempt blocked.,notify,urgent,alert unauthorized access attempt blocked,"('respond', 'neutral')",respond,neutral,False,False
Monthly performance review meeting invite.,respond,polite,monthly performance review meeting invite,"('respond', 'neutral')",respond,neutral,True,False
Meeting rescheduled to Friday at 3 PM. Please confirm availability.,respond,polite,meeting rescheduled to friday at pm please confirm availability,"('respond', 'neutral')",respond,neutral,True,False
Action required: Update your KYC details to avoid service interruption.,respond,urgent,action required update your kyc details to avoid service interruption,"('respond', 'neutral')",respond,neutral,True,False
Weekly newsletter: Learn Python data analysis tips.,ignore,neutral,weekly newsletter learn python data analysis tips,"('respond', 'neutral')",respond,neutral,False,True
Alert: Unusual login detected on your account.,notify,urgent,alert unusual login detected on your account,"('respond', 'neutral')",respond,neutral,False,False
Can you review the attached document and share feedback?,respond,polite,can you review the attached document and share feedback,"('respond', 'neutral')",respond,neutral,True,False
System maintenance scheduled tonight from 12 AM to 2 AM.,ignore,neutral,system maintenance scheduled tonight from am to am,"('respond', 'neutral')",respond,neutral,False,True
Your package delivery has been delayed due to weather conditions.,respond,polite,your package delivery has been delayed due to weather conditions,"('respond', 'neutral')",respond,neutral,True,False
Security warning: Multiple failed login attempts detected.,notify,urgent,security warning multiple failed login attempts detected,"('respond', 'neutral')",respond,neutral,False,False
Invitation to attend the AI webinar this Saturday.,ignore,neutral,invitation to attend the ai webinar this saturday,"('respond', 'neutral')",respond,neutral,False,True
Please submit your timesheet by EOD today.,respond,urgent,please submit your timesheet by eod today,"('notify', 'urgent')",notify,urgent,False,True
Reminder: Complete mandatory compliance training.,respond,polite,reminder complete mandatory compliance training,"('respond', 'neutral')",respond,neutral,True,False
Database connection failure detected on production server.,notify,urgent,database connection failure detected on production server,"('respond', 'neutral')",respond,neutral,False,False
Happy Holidays! Wishing you a great year ahead.,ignore,neutral,happy holidays wishing you a great year ahead,"('respond', 'neutral')",respond,neutral,False,True
Kindly approve the purchase request raised yesterday.,respond,polite,kindly approve the purchase request raised yesterday,"('respond', 'neutral')",respond,neutral,True,False
Critical: Disk space usage exceeded 95%.,notify,urgent,critical disk space usage exceeded,"('respond', 'neutral')",respond,neutral,False,False
Monthly performance report is now available.,respond,neutral,monthly performance report is now available,"('respond', 'neutral')",respond,neutral,True,True
Special offer: Get 50% off on premium subscription.,ignore,neutral,special offer get off on premium subscription,"('respond', 'neutral')",respond,neutral,False,True
Client escalation: Immediate resolution required.,notify,urgent,client escalation immediate resolution required,"('respond', 'neutral')",respond,neutral,False,False
Please find the revised project timeline attached.,respond,polite,please find the revised project timeline attached,"('respond', 'neutral')",respond,neutral,True,False
Scheduled power shutdown in your area tomorrow.,respond,urgent,scheduled power shutdown in your area tomorrow,"('respond', 'neutral')",respond,neutral,True,False
Reminder to update your password for security reasons.,respond,polite,reminder to update your password for security reasons,"('respond', 'neutral')",respond,neutral,True,False
