id,email_text,ideal_intent,ideal_tone
25,"Dear Customer, your invoice INV-1004 amounting to INR 6000 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent
26,"Dear Customer, your invoice INV-1005 amounting to INR 6250 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent
27,"Dear Customer, your invoice INV-1006 amounting to INR 6500 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent
28,"Dear Customer, your invoice INV-1007 amounting to INR 6750 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent
29,"Dear Customer, your invoice INV-1008 amounting to INR 7000 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent
30,"Dear Customer, your invoice INV-1009 amounting to INR 7250 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent
31,"Dear Customer, your invoice INV-1010 amounting to INR 7500 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent
32,"Dear Customer, your invoice INV-1011 amounting to INR 7750 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent
33,"Dear Customer, your invoice INV-1012 amounting to INR 8000 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent
34,"Dear Customer, your invoice INV-1013 amounting to INR 8250 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent
35,"Dear Customer, your invoice INV-1014 amounting to INR 8500 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent
36,"Dear Customer, your invoice INV-1015 amounting to INR 8750 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent
37,"Dear Customer, your invoice INV-1016 amounting to INR 9000 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent
38,"Dear Customer, your invoice INV-1017 amounting to INR 9250 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent
39,"Dear Customer, your invoice INV-1018 amounting to INR 9500 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent
40,"Dear Customer, your invoice INV-1019 amounting to INR 9750 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent
41,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite
42,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite
43,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite
44,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite
45,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite
46,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite
47,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite
48,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite
49,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite
50,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite
51,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite
52,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite
53,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite
54,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite
55,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite
56,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite
57,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite
58,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite
59,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite
60,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite
61,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite
62,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite
63,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite
64,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite
65,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite
66,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite
67,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite
68,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite
69,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite
70,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite
71,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite
72,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite
73,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite
74,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite
75,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite
76,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite
77,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite
78,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite
79,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite
80,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite
81,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral
82,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral
83,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral
84,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral
85,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral
86,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral
87,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral
88,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral
89,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral
90,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral
91,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral
92,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral
93,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral
94,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral
95,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral
96,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral
97,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral
98,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral
99,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral
100,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral
