email_text,expected_action,expected_tone,clean_text,predicted_action,predicted_tone,action_correct,tone_correct
Congratulations! You have been shortlisted for the internship.,notify,polite,congratulations you have been shortlisted for the internship,notify,polite,True,True
Please submit your assignment by tomorrow.,respond,urgent,please submit your assignment by tomorrow,respond,polite,True,False
Your application has been successfully received.,notify,neutral,your application has been successfully received,notify,neutral,True,True
Kindly share your availability for the interview.,respond,polite,kindly share your availability for the interview,respond,polite,True,True
Internship joining details are attached.,notify,neutral,internship joining details are attached,notify,neutral,True,True
Reminder to upload your project report.,respond,urgent,reminder to upload your project report,notify,neutral,False,False
You are invited for a technical interview.,notify,polite,you are invited for a technical interview,notify,neutral,True,False
Please confirm your participation in the workshop.,respond,polite,please confirm your participation in the workshop,respond,polite,True,True
Academic documents required for verification.,respond,urgent,academic documents required for verification,notify,neutral,False,False
Your semester results have been published.,notify,neutral,your semester results have been published,notify,neutral,True,True
Orientation program details for interns.,notify,neutral,orientation program details for interns,notify,neutral,True,True
Please revise and resubmit your assignment.,respond,urgent,please revise and resubmit your assignment,respond,polite,True,False
Selection status update for internship program.,notify,neutral,selection status update for internship program,notify,neutral,True,True
Faculty feedback on your project submission.,notify,polite,faculty feedback on your project submission,notify,neutral,True,False
Reminder to register for the exam.,respond,urgent,reminder to register for the exam,notify,neutral,False,False
Certificate distribution details.,notify,neutral,certificate distribution details,notify,neutral,True,True
Please submit the consent form.,respond,polite,please submit the consent form,respond,polite,True,True
Your internship completion letter is attached.,notify,polite,your internship completion letter is attached,notify,neutral,True,False
Academic schedule updated.,notify,neutral,academic schedule updated,notify,neutral,True,True
Final call for internship confirmation.,respond,urgent,final call for internship confirmation,respond,urgent,True,True
Can you share the meeting notes?,respond,polite,can you share the meeting notes,respond,neutral,True,False
Please let me know the project deadline.,respond,neutral,please let me know the project deadline,notify,polite,False,False
Could you clarify the assignment requirements?,respond,polite,could you clarify the assignment requirements,respond,neutral,True,False
Is the office open tomorrow?,respond,neutral,is the office open tomorrow,notify,neutral,False,True
Can you guide me on the internship process?,respond,polite,can you guide me on the internship process,notify,neutral,False,False
What is the submission format?,respond,neutral,what is the submission format,notify,neutral,False,True
Please confirm the venue details.,respond,neutral,please confirm the venue details,respond,polite,True,False
Can you help me reset my login credentials?,respond,urgent,can you help me reset my login credentials,notify,neutral,False,False
Who should I contact for further details?,respond,neutral,who should i contact for further details,notify,neutral,False,True
Can we reschedule our call?,respond,polite,can we reschedule our call,notify,neutral,False,False
Is there any update on the project status?,respond,neutral,is there any update on the project status,notify,neutral,False,True
Please advise on next steps.,respond,polite,please advise on next steps,notify,polite,False,True
Can you share the reference materials?,respond,neutral,can you share the reference materials,respond,neutral,True,True
What time does the session start?,respond,neutral,what time does the session start,notify,neutral,False,True
Can you approve my request?,respond,polite,can you approve my request,respond,neutral,True,False
Please confirm receipt of my email.,respond,neutral,please confirm receipt of my email,respond,polite,True,False
Is attendance mandatory?,respond,neutral,is attendance mandatory,notify,neutral,False,True
Can I get an extension?,respond,urgent,can i get an extension,notify,neutral,False,False
Please clarify the instructions.,respond,neutral,please clarify the instructions,respond,polite,True,False
Who is the point of contact?,respond,neutral,who is the point of contact,notify,neutral,False,True
Your password was successfully changed.,ignore,neutral,your password was successfully changed,notify,neutral,False,True
This is a system-generated confirmation email.,ignore,neutral,this is a systemgenerated confirmation email,respond,neutral,False,True
Thank you for subscribing to our newsletter.,ignore,neutral,thank you for subscribing to our newsletter,ignore,neutral,True,True
Your account was logged in from a new device.,notify,urgent,your account was logged in from a new device,notify,neutral,True,False
Weekly newsletter: Tech updates.,ignore,neutral,weekly newsletter tech updates,ignore,neutral,True,True
Your profile has been updated successfully.,ignore,neutral,your profile has been updated successfully,notify,neutral,False,True
System maintenance scheduled tonight.,notify,neutral,system maintenance scheduled tonight,notify,neutral,True,True
Advertisement: New course offerings.,ignore,neutral,advertisement new course offerings,ignore,neutral,True,True
Auto-reply: Out of office.,ignore,neutral,autoreply out of office,ignore,neutral,True,True
Security alert notification.,notify,urgent,security alert notification,notify,neutral,True,False
Promotional email: Discount offers.,ignore,neutral,promotional email discount offers,ignore,neutral,True,True
Your download is ready.,notify,neutral,your download is ready,notify,neutral,True,True
Survey feedback request.,ignore,neutral,survey feedback request,notify,neutral,False,True
Reminder: Update your profile.,notify,neutral,reminder update your profile,notify,neutral,True,True
Automated email confirmation.,ignore,neutral,automated email confirmation,respond,neutral,False,True
Terms and conditions updated.,notify,neutral,terms and conditions updated,notify,neutral,True,True
Email delivery notification.,ignore,neutral,email delivery notification,notify,neutral,False,True
System alert resolved.,notify,neutral,system alert resolved,notify,neutral,True,True
Marketing campaign update.,ignore,neutral,marketing campaign update,notify,neutral,False,True
Subscription renewal notice.,notify,urgent,subscription renewal notice,notify,neutral,True,False
