id,email_text,expected_action,expected_tone,Clean_text,predicted_action,predicted_tone,action_correct,tone_correct
37,"Hi, I noticed a typo on the landing page. Just wanted to let you know.",respond,polite,hi i noticed a typo on the landing page just wanted to let you know,respond,neutral,True,False
38,Your Uber ride is arriving in 2 minutes.,ignore,neutral,your uber ride is arriving in  minutes,respond,neutral,False,True
39,Action Required: Verify your email address to complete registration.,respond,urgent,action required verify your email address to complete registration,respond,neutral,True,False
40,"Hey, did you see the game last night? It was insane!",ignore,casual,hey did you see the game last night it was insane,respond,neutral,False,False
41,The library books are due tomorrow. Please return them to avoid fines.,notify,neutral,the library books are due tomorrow please return them to avoid fines,respond,neutral,False,True
42,Request for Leave: I would like to take next Monday off for personal reasons.,respond,neutral,request for leave i would like to take next monday off for personal reasons,respond,neutral,True,True
43,Your monthly bank statement is ready for view.,ignore,neutral,your monthly bank statement is ready for view,respond,neutral,False,True
44,Can we postpone our 1:1 to later this afternoon?,respond,neutral,can we postpone our  to later this afternoon,respond,neutral,True,True
45,Warning: High disk usage detected on Server 01.,notify,urgent,warning high disk usage detected on server ,notify,urgent,True,True
46,Thank you for your order. Your tracking number is #123456789.,ignore,neutral,thank you for your order your tracking number is ,ignore,neutral,True,True
47,Class is cancelled today due to the professor being unwell.,notify,neutral,class is cancelled today due to the professor being unwell,respond,neutral,False,True
48,Looking for a 27-inch monitor recommendations. Any suggestions?,respond,neutral,looking for a inch monitor recommendations any suggestions,respond,neutral,True,True
49,Final Call: Register for the workshop before seats fill up.,ignore,urgent,final call register for the workshop before seats fill up,respond,neutral,False,False
50,"Hey, I think I left my charger at your desk. Did you see it?",respond,neutral,hey i think i left my charger at your desk did you see it,respond,neutral,True,True
51,Update: The bug in the login module has been fixed.,notify,neutral,update the bug in the login module has been fixed,respond,neutral,False,True
52,Please review the attached contract and sign it by EOD.,respond,urgent,please review the attached contract and sign it by eod,respond,neutral,True,False
53,Invitation: Office Holiday Party. RSVP by Friday.,respond,polite,invitation office holiday party rsvp by friday,respond,neutral,True,False
54,Your free trial is ending in 3 days. Upgrade now to keep premium features.,ignore,neutral,your free trial is ending in  days upgrade now to keep premium features,respond,neutral,False,True
55,Can you send me the API documentation link?,respond,neutral,can you send me the api documentation link,respond,neutral,True,True
56,Alert: Smoke detector triggered in Building A.,notify,urgent,alert smoke detector triggered in building a,notify,urgent,True,True
57,Great job on the presentation today! The client was very impressed.,respond,polite,great job on the presentation today the client was very impressed,respond,neutral,True,False
58,Reminder: Pay your electricity bill by the 20th.,notify,neutral,reminder pay your electricity bill by the th,respond,neutral,False,True
59,Is the gym open on public holidays?,respond,neutral,is the gym open on public holidays,respond,neutral,True,True
60,Submission received: Milestone 1 project files.,ignore,neutral,submission received milestone  project files,respond,neutral,False,True
61,Can you assist me with the Python environment setup?,respond,neutral,can you assist me with the python environment setup,respond,neutral,True,True
62,LinkedIn: You appeared in 5 searches this week.,ignore,neutral,linkedin you appeared in  searches this week,respond,neutral,False,True
63,Please confirm your attendance for the graduation ceremony.,respond,neutral,please confirm your attendance for the graduation ceremony,respond,neutral,True,True
64,The meeting room has been changed to Conference Room B.,notify,neutral,the meeting room has been changed to conference room b,respond,neutral,False,True
65,Check out these photos from the team outing!,ignore,polite,check out these photos from the team outing,respond,neutral,False,False
66,URGENT: Data breach detected. Initiate protocol immediately.,notify,urgent,urgent data breach detected initiate protocol immediately,notify,urgent,True,True
67,Do you have the contact details for the vendor?,respond,neutral,do you have the contact details for the vendor,respond,neutral,True,True
68,Your flight has been delayed by 2 hours.,notify,urgent,your flight has been delayed by  hours,respond,neutral,False,False
69,Weekly Standup has been moved to Zoom. Here is the link.,notify,neutral,weekly standup has been moved to zoom here is the link,respond,neutral,False,True
70,"Just checking in, have you had a chance to look at my email from yesterday?",respond,polite,just checking in have you had a chance to look at my email from yesterday,respond,neutral,True,False
71,New Login from Chrome on Windows. Was this you?,notify,urgent,new login from chrome on windows was this you,respond,neutral,False,False
72,Pizza in the breakroom! Come grab a slice.,ignore,casual,pizza in the breakroom come grab a slice,respond,neutral,False,False
73,Please provide feedback on the intern's performance.,respond,neutral,please provide feedback on the interns performance,respond,neutral,True,True
74,Your domain name will expire in 10 days. Renew now.,notify,urgent,your domain name will expire in  days renew now,respond,neutral,False,False
75,Application Update: We regret to inform you that we will not be moving forward.,ignore,polite,application update we regret to inform you that we will not be moving forward,respond,neutral,False,False
76,Can you cover for me next week while I'm on vacation?,respond,neutral,can you cover for me next week while im on vacation,respond,neutral,True,True
77,System maintenance scheduled for Saturday 10 PM - 2 AM.,ignore,neutral,system maintenance scheduled for saturday  pm   am,respond,neutral,False,True
78,Reminder: Submit your project proposal by tonight.,notify,urgent,reminder submit your project proposal by tonight,respond,neutral,False,False
79,"Hey, what's the status of the VaultKey app deployment?",respond,neutral,hey whats the status of the vaultkey app deployment,respond,neutral,True,True
80,Your OTP for login is 482910. Do not share this with anyone.,ignore,neutral,your otp for login is  do not share this with anyone,respond,neutral,False,True
81,Let's catch up over coffee sometime next week.,respond,polite,lets catch up over coffee sometime next week,respond,neutral,True,False
82,The AC is not working in the lab. Who do I report this to?,respond,neutral,the ac is not working in the lab who do i report this to,respond,neutral,True,True
83,Draft for review: Client proposal v2.,respond,neutral,draft for review client proposal v,respond,neutral,True,True
84,Congratulations on your work anniversary!,respond,polite,congratulations on your work anniversary,respond,polite,True,True
85,Payment failed: Insufficient funds.,notify,urgent,payment failed insufficient funds,notify,urgent,True,True
86,Please bring your ID card for the exam tomorrow.,notify,neutral,please bring your id card for the exam tomorrow,respond,neutral,False,True
87,Any update on the salary credited? It hasn't reflected yet.,respond,urgent,any update on the salary credited it hasnt reflected yet,respond,neutral,True,False
88,The build failed on the CI/CD pipeline. Check the logs.,notify,urgent,the build failed on the cicd pipeline check the logs,notify,urgent,True,True
89,Lunch is on me today! Meet at the lobby at 1.,respond,casual,lunch is on me today meet at the lobby at ,respond,neutral,True,False
90,Did you finish the documentation for the API?,respond,neutral,did you finish the documentation for the api,respond,neutral,True,True
91,Reminder: Return the projector to the IT desk.,notify,neutral,reminder return the projector to the it desk,respond,neutral,False,True
92,Your AWS budget threshold has been exceeded.,notify,urgent,your aws budget threshold has been exceeded,respond,neutral,False,False
93,Can you forward me the email from the Dean?,respond,neutral,can you forward me the email from the dean,respond,neutral,True,True
94,Alert: Heavy rain forecast. Drive safely.,ignore,neutral,alert heavy rain forecast drive safely,notify,urgent,False,False
95,Please fill out this survey about your cafeteria experience.,ignore,neutral,please fill out this survey about your cafeteria experience,respond,neutral,False,True
96,What time is the hackathon starting tomorrow?,respond,neutral,what time is the hackathon starting tomorrow,respond,neutral,True,True
97,Your request for a new laptop has been approved.,notify,polite,your request for a new laptop has been approved,respond,neutral,False,False
98,"Hey, are you joining the gaming session tonight?",ignore,casual,hey are you joining the gaming session tonight,respond,neutral,False,False
99,Important: Changes to the company work-from-home policy.,notify,neutral,important changes to the company workfromhome policy,respond,neutral,False,True
100,Can you review the database schema for the new project?,respond,neutral,can you review the database schema for the new project,respond,neutral,True,True
