id,body,ideal_intent,ideal_tone
43,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",ignore,neutral
44,Your invoice of INR 13706.88 is due on 2026-01-06. Please pay to avoid late fees.,respond,polite
45,Your order #1387 has been shipped and is expected to deliver by 2026-01-07.,ignore,neutral
46,Reminder: The client meeting is scheduled at 13:30 tomorrow. Prepare your slides.,notify,urgent
47,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",ignore,neutral
48,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore,neutral
49,Please complete the mandatory training module before the deadline.,notify,urgent
50,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore,neutral
51,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",ignore,neutral
52,Reminder: The client meeting is scheduled at 14:30 tomorrow. Prepare your slides.,notify,urgent
53,Your order #5649 has been shipped and is expected to deliver by 2026-01-06.,ignore,neutral
54,"Hello team, please find the attached weekly report and action items for the project.",respond,polite
55,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",ignore,neutral
56,Security alert: multiple failed login attempts were recorded on your account.,ignore,neutral
57,Please complete the mandatory training module before the deadline.,notify,urgent
58,Please complete the mandatory training module before the deadline.,notify,urgent
59,Your order #4919 has been shipped and is expected to deliver by 2025-12-19.,ignore,neutral
60,Your invoice of INR 13949.9 is due on 2025-12-22. Please pay to avoid late fees.,respond,polite
61,Your invoice of INR 3679.33 is due on 2025-12-25. Please pay to avoid late fees.,respond,polite
62,Notice: Your account will be locked unless verification is completed.,ignore,neutral
63,Security alert: multiple failed login attempts were recorded on your account.,ignore,neutral
64,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",ignore,neutral
65,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",ignore,neutral
66,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",ignore,neutral
67,Security alert: multiple failed login attempts were recorded on your account.,ignore,neutral
68,"Hello team, please find the attached weekly report and action items for the project.",respond,polite
69,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",ignore,neutral
70,Notice: Your account will be locked unless verification is completed.,ignore,neutral
71,Notice: Your account will be locked unless verification is completed.,ignore,neutral
72,Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,notify,urgent
73,Please complete the mandatory training module before the deadline.,notify,urgent
74,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",ignore,neutral
75,Notice: Your account will be locked unless verification is completed.,ignore,neutral
76,Notice: Your account will be locked unless verification is completed.,ignore,neutral
77,Your invoice of INR 18063.84 is due on 2025-12-20. Please pay to avoid late fees.,respond,polite
78,"Hello team, please find the attached weekly report and action items for the project.",respond,polite
79,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",ignore,neutral
80,Please complete the mandatory training module before the deadline.,notify,urgent
81,Reminder: The client meeting is scheduled at 12:30 tomorrow. Prepare your slides.,notify,urgent
82,Your invoice of INR 37060.93 is due on 2025-12-20. Please pay to avoid late fees.,respond,polite
83,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore,neutral
84,Reminder: The client meeting is scheduled at 16:00 tomorrow. Prepare your slides.,notify,urgent
85,Your order #2869 has been shipped and is expected to deliver by 2025-12-13.,ignore,neutral
86,"Hello team, please find the attached weekly report and action items for the project.",respond,polite
87,Your invoice of INR 6363.35 is due on 2026-01-05. Please pay to avoid late fees.,respond,polite
88,Notice: Your account will be locked unless verification is completed.,ignore,neutral
89,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",ignore,neutral
90,Reminder: The client meeting is scheduled at 13:30 tomorrow. Prepare your slides.,notify,urgent
91,Your invoice of INR 21544.38 is due on 2025-12-29. Please pay to avoid late fees.,respond,polite
92,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",ignore,neutral
93,Reminder: The client meeting is scheduled at 16:00 tomorrow. Prepare your slides.,notify,urgent
94,Reminder: The client meeting is scheduled at 9:30 tomorrow. Prepare your slides.,notify,urgent
95,Please complete the mandatory training module before the deadline.,notify,urgent
96,Your order #3634 has been shipped and is expected to deliver by 2025-12-22.,ignore,neutral
97,Security alert: multiple failed login attempts were recorded on your account.,ignore,neutral
98,Security alert: multiple failed login attempts were recorded on your account.,ignore,neutral
99,Notice: Your account will be locked unless verification is completed.,ignore,neutral
100,Your order #4920 has been shipped and is expected to deliver by 2025-12-27.,ignore,neutral
101,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",ignore,neutral
102,Reminder: The client meeting is scheduled at 15:30 tomorrow. Prepare your slides.,notify,urgent
103,Security alert: multiple failed login attempts were recorded on your account.,ignore,neutral
104,Please complete the mandatory training module before the deadline.,notify,urgent
105,Your order #8460 has been shipped and is expected to deliver by 2025-12-29.,ignore,neutral
106,Notice: Your account will be locked unless verification is completed.,ignore,neutral
107,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",ignore,neutral
108,Please complete the mandatory training module before the deadline.,notify,urgent
109,Notice: Your account will be locked unless verification is completed.,ignore,neutral
110,Please complete the mandatory training module before the deadline.,notify,urgent
111,"Hello team, please find the attached weekly report and action items for the project.",respond,polite
112,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore,neutral
113,Security alert: multiple failed login attempts were recorded on your account.,ignore,neutral
114,Reminder: The client meeting is scheduled at 16:30 tomorrow. Prepare your slides.,notify,urgent
115,Notice: Your account will be locked unless verification is completed.,ignore,neutral
116,"Hello team, please find the attached weekly report and action items for the project.",respond,polite
117,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",ignore,neutral
118,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore,neutral
119,Your order #5835 has been shipped and is expected to deliver by 2025-12-23.,ignore,neutral
120,Your invoice of INR 7041.91 is due on 2025-12-29. Please pay to avoid late fees.,respond,polite
121,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore,neutral
122,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore,neutral
123,Notice: Your account will be locked unless verification is completed.,ignore,neutral
124,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore,neutral
125,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",ignore,neutral
126,Security alert: multiple failed login attempts were recorded on your account.,ignore,neutral
127,Notice: Your account will be locked unless verification is completed.,ignore,neutral
128,"Hello team, please find the attached weekly report and action items for the project.",respond,polite
129,Your order #6464 has been shipped and is expected to deliver by 2025-12-18.,ignore,neutral
130,Your invoice of INR 3896.2 is due on 2026-01-05. Please pay to avoid late fees.,respond,polite
131,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",ignore,neutral
132,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",ignore,neutral
133,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore,neutral
134,Your order #9254 has been shipped and is expected to deliver by 2025-12-28.,ignore,neutral
135,Please complete the mandatory training module before the deadline.,notify,urgent
136,Your order #6277 has been shipped and is expected to deliver by 2025-12-26.,ignore,neutral
137,Reminder: The client meeting is scheduled at 17:30 tomorrow. Prepare your slides.,notify,urgent
138,Your order #4522 has been shipped and is expected to deliver by 2025-12-25.,ignore,neutral
139,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore,neutral
140,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",ignore,neutral
141,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",ignore,neutral
142,Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,notify,urgent
143,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore,neutral
144,Notice: Your account will be locked unless verification is completed.,ignore,neutral
145,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore,neutral
146,Please complete the mandatory training module before the deadline.,notify,urgent
147,Notice: Your account will be locked unless verification is completed.,ignore,neutral
148,Security alert: multiple failed login attempts were recorded on your account.,ignore,neutral
149,Security alert: multiple failed login attempts were recorded on your account.,ignore,neutral
150,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",ignore,neutral
151,Security alert: multiple failed login attempts were recorded on your account.,ignore,neutral
152,Security alert: multiple failed login attempts were recorded on your account.,ignore,neutral
153,Security alert: multiple failed login attempts were recorded on your account.,ignore,neutral
154,Notice: Your account will be locked unless verification is completed.,ignore,neutral
155,Notice: Your account will be locked unless verification is completed.,ignore,neutral
156,Please complete the mandatory training module before the deadline.,notify,urgent
157,"Hello team, please find the attached weekly report and action items for the project.",respond,polite
158,Notice: Your account will be locked unless verification is completed.,ignore,neutral
159,Reminder: The client meeting is scheduled at 9:30 tomorrow. Prepare your slides.,notify,urgent
160,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",ignore,neutral
161,Your order #4084 has been shipped and is expected to deliver by 2026-01-06.,ignore,neutral
162,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",ignore,neutral
163,Your invoice of INR 35527.27 is due on 2025-12-26. Please pay to avoid late fees.,respond,polite
164,Security alert: multiple failed login attempts were recorded on your account.,ignore,neutral
165,Reminder: The client meeting is scheduled at 11:30 tomorrow. Prepare your slides.,notify,urgent
166,Reminder: The client meeting is scheduled at 15:00 tomorrow. Prepare your slides.,notify,urgent
167,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",ignore,neutral
168,Reminder: The client meeting is scheduled at 14:30 tomorrow. Prepare your slides.,notify,urgent
169,"Hello team, please find the attached weekly report and action items for the project.",respond,polite
170,Notice: Your account will be locked unless verification is completed.,ignore,neutral
171,Your order #9749 has been shipped and is expected to deliver by 2026-01-05.,ignore,neutral
172,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore,neutral
173,Security alert: multiple failed login attempts were recorded on your account.,ignore,neutral
174,Please complete the mandatory training module before the deadline.,notify,urgent
175,Your order #4637 has been shipped and is expected to deliver by 2025-12-16.,ignore,neutral
176,Security alert: multiple failed login attempts were recorded on your account.,ignore,neutral
177,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",ignore,neutral
178,Your order #5193 has been shipped and is expected to deliver by 2025-12-12.,ignore,neutral
179,Notice: Your account will be locked unless verification is completed.,ignore,neutral
180,Notice: Your account will be locked unless verification is completed.,ignore,neutral
181,Security alert: multiple failed login attempts were recorded on your account.,ignore,neutral
182,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore,neutral
183,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore,neutral
184,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore,neutral
185,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",ignore,neutral
186,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore,neutral
187,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore,neutral
188,Your order #9129 has been shipped and is expected to deliver by 2025-12-24.,ignore,neutral
189,Reminder: The client meeting is scheduled at 15:00 tomorrow. Prepare your slides.,notify,urgent
190,Reminder: The client meeting is scheduled at 14:30 tomorrow. Prepare your slides.,notify,urgent
191,Your order #5498 has been shipped and is expected to deliver by 2025-12-13.,ignore,neutral
192,Security alert: multiple failed login attempts were recorded on your account.,ignore,neutral
193,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",ignore,neutral
194,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",ignore,neutral
195,Security alert: multiple failed login attempts were recorded on your account.,ignore,neutral
196,Security alert: multiple failed login attempts were recorded on your account.,ignore,neutral
197,Your order #3828 has been shipped and is expected to deliver by 2025-12-16.,ignore,neutral
198,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore,neutral
199,Please complete the mandatory training module before the deadline.,notify,urgent
200,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore,neutral
