id,email_text,expected_action,expected_tone
39,Faculty meeting reminder: 10 AM in Lab 101.,notify,polite
40,"Bank alert: Failed payment attempt of INR INR 12,406. Retry now.",respond,urgent
41,"Payment reminder: INR INR 8,238 outstanding. Due 2025-12-25.",respond,urgent
42,"Invoice #821 for INR INR 5,468 due on 2025-12-25. Payment link attached.",respond,urgent
43,"Payment reminder: INR INR 3,580 outstanding. Due 2025-12-25.",notify,polite
44,"Subscription renewal: INR INR 4,131 charged on 2025-12-20. Receipt attached.",ignore,neutral
45,"Your payment of INR INR 14,385 was successful.",respond,urgent
46,"Payment reminder: INR INR 13,815 outstanding. Due 2025-12-25.",respond,urgent
47,Project sync scheduled for Dec 31 at 2 PM. Agenda attached.,ignore,neutral
48,Follow up: Did you receive my thesis draft?,notify,polite
49,Automatic reply: Out of office till Jan 5.,ignore,neutral
50,Project sync scheduled for Jan 5 at 2 PM. Agenda attached.,ignore,neutral
51,"Payment reminder: INR INR 9,394 outstanding. Due 2025-12-25.",respond,urgent
52,"Subscription renewal: INR INR 13,689 charged on Dec 31. Receipt attached.",ignore,neutral
53,Project extension approved till 2025-12-25. Update progress.,ignore,neutral
54,Internship offer letter attached. Please sign by Jan 5.,respond,polite
55,"Final notice: Overdue amount INR INR 9,274 due immediately.",respond,urgent
56,Internship offer letter attached. Please sign by 2025-12-20.,respond,polite
57,"Payment reminder: INR INR 2,438 outstanding. Due Jan 5.",respond,urgent
58,"Final notice: Overdue amount INR INR 14,960 due immediately.",respond,urgent
59,Quick question: Can you review my code changes in PR #814?,respond,polite
60,"Dear student, your thesis submission is due 2025-12-25. Upload to portal.",respond,urgent
61,"Final notice: Overdue amount INR INR 8,204 due immediately.",respond,urgent
62,"Bank alert: Failed payment attempt of INR INR 1,223. Retry now.",respond,urgent
63,"Your payment of INR INR 2,092 was successful.",respond,urgent
64,"Final notice: Overdue amount INR INR 5,627 due immediately.",respond,urgent
65,"Invoice #221 for INR INR 12,166 due on Jan 5. Payment link attached.",respond,urgent
66,"Final notice: Overdue amount INR INR 8,512 due immediately.",respond,urgent
67,"Payment reminder: INR INR 6,100 outstanding. Due Dec 31.",notify,polite
68,"Bank alert: Failed payment attempt of INR INR 1,479. Retry now.",respond,urgent
69,"Final notice: Overdue amount INR INR 9,201 due immediately.",respond,urgent
70,"Subscription renewal: INR INR 6,376 charged on 2025-12-25. Receipt attached.",ignore,neutral
71,"Bank alert: Failed payment attempt of INR INR 4,729. Retry now.",respond,urgent
72,Project extension approved till 2025-12-20. Update progress.,ignore,neutral
73,Quick question: Can you review my code changes in PR #277?,respond,polite
74,"Payment reminder: INR INR 12,540 outstanding. Due Dec 31.",respond,urgent
75,"Bank alert: Failed payment attempt of INR INR 8,040. Retry now.",respond,urgent
76,"Subscription renewal: INR INR 5,228 charged on 2025-12-20. Receipt attached.",ignore,neutral
77,Quick question: Can you review my code changes in PR #904?,respond,polite
78,Quick question: Can you review my code changes in PR #951?,respond,polite
79,"Subscription renewal: INR INR 8,298 charged on 2025-12-20. Receipt attached.",ignore,neutral
80,"Your payment of INR INR 5,877 was successful.",respond,urgent
81,Internship offer letter attached. Please sign by 2025-12-25.,respond,polite
82,"Subscription renewal: INR INR 14,000 charged on Jan 5. Receipt attached.",ignore,neutral
83,Project sync scheduled for 2025-12-25 at 2 PM. Agenda attached.,ignore,neutral
84,Project sync scheduled for Jan 5 at 4 PM. Agenda attached.,ignore,neutral
85,"Bank alert: Failed payment attempt of INR INR 13,972. Retry now.",respond,urgent
86,"Final notice: Overdue amount INR INR 10,800 due immediately.",respond,urgent
87,"Your payment of INR INR 8,985 was successful.",respond,urgent
88,Internship offer letter attached. Please sign by Dec 31.,respond,polite
89,"Subscription renewal: INR INR 1,190 charged on Dec 31. Receipt attached.",ignore,neutral
90,"Your payment of INR INR 11,044 was successful.",respond,urgent
91,"Payment reminder: INR INR 3,224 outstanding. Due Jan 5.",respond,urgent
92,Reminder: Team meeting tomorrow at 4 PM. Please confirm attendance.,respond,urgent
93,Your payment of INR INR 536 was successful.,respond,urgent
94,"Bank alert: Failed payment attempt of INR INR 13,753. Retry now.",respond,urgent
95,"Bank alert: Failed payment attempt of INR INR 9,428. Retry now.",respond,urgent
96,Subscription renewal: INR INR 832 charged on Jan 5. Receipt attached.,ignore,neutral
97,"Your payment of INR INR 6,480 was successful.",respond,urgent
98,"Invoice #960 for INR INR 5,371 due on Jan 5. Payment link attached.",respond,urgent
99,"Bank alert: Failed payment attempt of INR INR 12,956. Retry now.",respond,urgent
100,Project sync scheduled for 2025-12-25 at 3 PM IST. Agenda attached.,ignore,neutral
